t,gate_idx,range_m,true_bx,true_by,true_bz,cv_bx,cv_by,cv_bz,err_x,err_y,err_z,err_total,true_vx,true_vy,true_vz,cv_vx,cv_vy,cv_vz,verr_x,verr_y,verr_z,verr_total,pnp_ok,reliable,gate_qw,gate_qx,gate_qy,gate_qz,odo_qw,odo_qx,odo_qy,odo_qz,cv_rx,cv_ry,cv_rz
8.138,0,23.301,22.166,0.377,-7.173,23.017,0.425,-8.155,0.850,0.048,-0.982,1.300,0.000,0.000,0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,0.000,True,True,0.70711,0.00000,-0.00000,0.70711,0.00051,-0.15472,0.00005,-0.98796,2.19985,-0.05153,-0.07353
8.159,0,23.301,22.166,0.377,-7.173,23.152,0.442,-8.355,0.985,0.065,-1.182,1.540,-0.022,-0.001,-0.609,-0.000,-0.000,-0.000,0.022,0.001,0.609,0.609,True,True,0.70711,0.00000,-0.00000,0.70711,0.00051,-0.15472,0.00005,-0.98796,2.47125,-0.06860,-0.31509
8.180,0,23.296,22.918,0.545,-4.144,22.753,0.421,-8.233,-0.165,-0.124,-4.089,4.094,0.100,0.046,-0.970,-0.000,-0.000,-0.000,-0.100,-0.046,0.970,0.976,True,True,0.70711,0.00000,-0.00000,0.70711,0.00176,0.08888,-0.01520,0.99593,2.36899,-0.12145,-0.27353
8.201,0,23.284,22.624,0.603,-5.474,22.982,0.287,-6.188,0.358,-0.317,-0.714,0.859,0.097,0.061,-0.860,-0.000,-0.000,-0.000,-0.097,-0.061,0.860,0.867,True,True,0.70711,0.00000,-0.00000,0.70711,-0.00183,-0.11892,0.02170,-0.99266,2.13635,-0.19853,-0.17835
8.262,0,23.279,22.473,0.566,-6.048,23.344,0.244,-6.387,0.872,-0.322,-0.340,0.989,0.204,0.026,-0.233,-0.000,-0.000,-0.000,-0.204,-0.026,0.233,0.311,True,True,0.70711,0.00000,-0.00000,0.70711,-0.00108,-0.13176,0.01922,-0.99109,1.88397,-0.00536,0.01484
8.283,0,23.269,22.242,0.559,-6.814,23.665,0.201,-6.763,1.423,-0.358,0.051,1.469,0.259,0.020,-0.074,-0.000,-0.000,-0.000,-0.259,-0.020,0.074,0.270,True,True,0.70711,0.00000,-0.00000,0.70711,-0.00062,-0.14900,0.01936,-0.98865,1.92610,-0.01226,0.08069
8.304,0,23.257,21.961,0.566,-7.632,23.072,0.193,-7.167,1.111,-0.373,0.465,1.261,0.345,0.024,-0.003,-0.000,-0.000,-0.000,-0.345,-0.024,0.003,0.345,True,True,0.70711,0.00000,-0.00000,0.70711,-0.00048,-0.16731,0.01906,-0.98572,-1.92530,-0.07238,0.16332
8.345,0,23.254,21.916,0.567,-7.755,22.728,0.191,-7.629,0.812,-0.376,0.126,0.904,0.386,0.030,-0.026,,,,,,,,True,True,0.70711,0.00000,-0.00000,0.70711,-0.00046,-0.17006,0.01895,-0.98525,1.90793,0.09289,0.13991
8.386,0,23.218,21.528,0.565,-8.677,22.450,0.184,-8.374,0.922,-0.382,0.303,1.043,0.606,0.066,-0.278,-0.000,-0.000,-0.000,-0.606,-0.066,0.278,0.670,True,True,0.70711,0.00000,-0.00000,0.70711,-0.00038,-0.19114,0.01750,-0.98141,1.91639,0.06524,0.12139
8.407,0,23.218,21.528,0.565,-8.677,22.672,0.172,-8.936,1.144,-0.393,-0.259,1.237,0.606,0.066,-0.278,,,,,,,,True,True,0.70711,0.00000,-0.00000,0.70711,-0.00038,-0.19114,0.01750,-0.98141,1.96287,0.02895,0.16145
