t,x,y,z,vx_b,vy_b,vz_b,phi,theta,psi,p,q,r,ax_b,ay_b,az_b,cmd_roll,cmd_pitch,cmd_yaw,cmd_thrust,phase_tag,regime_id
0.00000,-0.00047,0.00007,0.02055,0.00000,0.00000,0.00000,-0.000249,-0.310720,-3.140530,0.000000,0.000000,-0.000000,-2.99935,-0.00232,-9.34023,0.000214,0.267044,0.000000,1.000000,settle,P0
0.01081,-0.00047,0.00007,0.02055,0.00000,0.00000,0.00000,-0.000249,-0.310720,-3.140530,0.000000,0.000000,-0.000000,-2.99935,-0.00232,-9.34023,0.000214,0.267044,0.000000,1.000000,settle,P0
0.02126,-0.00047,0.00007,0.02055,0.00000,0.00000,0.00000,-0.000249,-0.310720,-3.140530,0.000000,0.000000,-0.000000,-2.99935,-0.00232,-9.34023,0.000214,0.267044,0.000000,1.000000,settle,P0
0.03173,-0.00047,0.00007,0.02055,0.00000,0.00000,0.00000,-0.000249,-0.310720,-3.140530,0.000000,0.000000,-0.000000,-2.99935,-0.00232,-9.34023,0.000214,0.267044,0.000000,1.000000,settle,P0
0.04213,-0.00047,0.00007,0.02055,0.08161,0.00029,-0.30193,-0.000249,-0.310720,-3.140530,0.001825,-0.761040,-0.000168,175.89221,0.37415,-1445.07568,0.000107,0.310649,0.000019,1.000000,settle,P0
0.05282,-0.00047,0.00007,0.02055,0.08161,0.00029,-0.30193,-0.000249,-0.310720,-3.140530,0.001825,-0.761040,-0.000168,175.89221,0.37415,-1445.07568,0.000107,0.310649,0.000019,1.000000,settle,P0
0.06357,-0.00477,0.00007,0.01434,0.13207,0.00028,-0.80849,-0.000340,-0.292650,-3.140468,0.003909,-0.925025,-0.000029,126.70850,0.14282,-1678.35022,0.000062,0.304514,-0.000104,1.000000,settle,P0
0.07401,-0.01539,0.00007,-0.00916,0.19546,0.00013,-1.44257,-0.000264,-0.272159,-3.140474,0.002437,-0.853588,0.000009,0.16333,0.00073,-51.47873,0.000084,0.282810,-0.000096,1.000000,settle,P0
0.08455,-0.01539,0.00007,-0.00916,0.19546,0.00013,-1.44257,-0.000264,-0.272159,-3.140474,0.002437,-0.853588,0.000009,0.16333,0.00073,-51.47873,0.000084,0.282810,-0.000096,1.000000,settle,P0
0.09517,-0.01539,0.00007,-0.00916,0.19546,0.00013,-1.44257,-0.000264,-0.272159,-3.140474,0.002437,-0.853588,0.000009,0.16333,0.00073,-51.47873,0.000084,0.282810,-0.000096,1.000000,settle,P0
0.10608,-0.01539,0.00007,-0.00916,0.19546,0.00013,-1.44257,-0.000264,-0.272159,-3.140474,0.002437,-0.853588,0.000009,0.16333,0.00073,-51.47873,0.000084,0.282810,-0.000096,1.000000,settle,P0
0.11669,-0.02043,0.00007,-0.02140,0.28720,-0.00014,-3.23372,-0.000252,-0.266305,-3.140476,-0.000040,-0.595491,-0.000026,135.68237,0.13817,-4152.46680,0.000219,0.262991,-0.000090,1.000000,settle,P0
0.12765,-0.05746,0.00007,-0.11936,0.40036,-0.00026,-4.01755,-0.000240,-0.243133,-3.140482,-0.000047,-0.561041,-0.000090,0.84203,0.00056,-72.31361,0.000209,0.241102,-0.000072,1.000000,settle,P0
0.13811,-0.09160,0.00007,-0.21676,0.49191,-0.00034,-4.78631,-0.000238,-0.230177,-3.140488,0.000186,-0.548707,-0.000138,0.19259,0.00005,-59.97741,0.000193,0.229261,-0.000056,1.000000,settle,P0
0.14873,-0.09160,0.00007,-0.21676,0.49191,-0.00034,-4.78631,-0.000238,-0.230177,-3.140488,0.000186,-0.548707,-0.000138,0.19259,0.00005,-59.97741,0.000193,0.229261,-0.000056,1.000000,settle,P0
0.15932,-0.09160,0.00007,-0.21676,0.49191,-0.00034,-4.78631,-0.000238,-0.230177,-3.140488,0.000186,-0.548707,-0.000138,0.19259,0.00005,-59.97741,0.000193,0.229261,-0.000056,1.000000,settle,P0
0.16995,-0.09160,0.00007,-0.21676,0.49191,-0.00034,-4.78631,-0.000238,-0.230177,-3.140488,0.000186,-0.548707,-0.000138,0.19259,0.00005,-59.97741,0.000193,0.229261,-0.000056,1.000000,settle,P0
0.18066,-0.10324,0.00007,-0.25096,0.58010,-0.00047,-6.58889,-0.000235,-0.226414,-3.140490,0.000555,-0.500894,-0.000168,134.35352,0.14630,-4490.37744,0.000169,0.223288,-0.000049,0.915346,settle,P0
0.19114,-0.10324,0.00007,-0.25096,0.58010,-0.00047,-6.58889,-0.000235,-0.226414,-3.140490,0.000555,-0.500894,-0.000168,134.35352,0.14630,-4490.37744,0.000169,0.223288,-0.000049,0.915346,settle,P0
0.20218,-0.21113,0.00007,-0.58401,0.81206,-0.00073,-7.72068,-0.000204,-0.199757,-3.140504,0.000573,-0.508914,-0.000138,0.63582,0.00071,-66.70383,0.000142,0.200837,-0.000028,0.823887,settle,P0
0.21277,-0.22809,0.00007,-0.63838,0.85479,-0.00079,-8.04804,-0.000200,-0.196119,-3.140506,0.000561,-0.517000,-0.000128,0.10584,0.00016,-55.10924,0.000139,0.198174,-0.000026,0.801884,settle,P0
0.22325,-0.22809,0.00007,-0.63838,0.85479,-0.00079,-8.04804,-0.000200,-0.196119,-3.140506,0.000561,-0.517000,-0.000128,0.10584,0.00016,-55.10924,0.000139,0.198174,-0.000026,0.801884,settle,P0
0.23377,-0.22809,0.00007,-0.63838,0.85479,-0.00079,-8.04804,-0.000200,-0.196119,-3.140506,0.000561,-0.517000,-0.000128,0.10584,0.00016,-55.10924,0.000139,0.198174,-0.000026,0.801884,settle,P0
0.24485,-0.22809,0.00007,-0.63838,0.85479,-0.00079,-8.04804,-0.000200,-0.196119,-3.140506,0.000561,-0.517000,-0.000128,106.27368,0.11403,-2603.70679,0.000139,0.198174,-0.000026,0.801884,settle,P0
0.25572,-0.24629,0.00007,-0.69743,0.94617,-0.00092,-9.41349,-0.000196,-0.192266,-3.140508,0.000441,-0.532026,-0.000066,115.56635,0.12205,-2185.89600,0.000142,0.195723,-0.000030,0.727502,settle,P0
0.26647,-0.38953,0.00007,-1.17367,1.25085,-0.00119,-10.10100,-0.000171,-0.164575,-3.140517,0.000399,-0.519915,-0.000042,0.41344,0.00046,-44.96122,0.000123,0.171231,-0.000018,0.644158,settle,P0
0.27713,-0.40988,0.00007,-1.24271,1.29835,-0.00123,-10.28132,-0.000168,-0.160987,-3.140517,0.000399,-0.516644,-0.000040,0.02354,0.00007,-35.88242,0.000121,0.167960,-0.000017,0.628080,settle,P0
0.28764,-0.40988,0.00007,-1.24271,1.29835,-0.00123,-10.28132,-0.000168,-0.160987,-3.140517,0.000399,-0.516644,-0.000040,0.02354,0.00007,-35.88242,0.000121,0.167960,-0.000017,0.628080,settle,P0
0.29830,-0.40988,0.00007,-1.24271,1.29835,-0.00123,-10.28132,-0.000168,-0.160987,-3.140517,0.000399,-0.516644,-0.000040,0.02354,0.00007,-35.88242,0.000121,0.167960,-0.000017,0.628080,settle,P0
0.30883,-0.43113,0.00007,-1.31507,1.34749,-0.00127,-10.45243,-0.000165,-0.157303,-3.140519,0.000402,-0.514759,-0.000040,83.26648,0.09775,-825.06317,0.000118,0.164686,-0.000015,0.612130,settle,P0
0.31961,-0.43113,0.00007,-1.31507,1.38576,-0.00131,-10.88021,-0.000165,-0.157303,-3.140519,0.000357,-0.438306,-0.000038,83.26648,0.09775,-825.06317,0.000121,0.160305,-0.000015,0.590741,settle,P0
0.33023,-0.59273,0.00007,-1.86865,1.67251,-0.00155,-11.08274,-0.000145,-0.133758,-3.140524,0.000337,-0.429507,-0.000034,0.22440,0.00039,-21.62634,0.000105,0.139566,-0.000006,0.524331,settle,P0
0.34063,-0.59273,0.00007,-1.86865,1.67251,-0.00155,-11.08274,-0.000145,-0.133758,-3.140524,0.000337,-0.429507,-0.000034,-0.12743,-0.00001,-18.28329,0.000105,0.139566,-0.000006,0.524331,settle,P0
0.35086,-0.61461,0.00007,-1.94380,1.71353,-0.00158,-11.13922,-0.000143,-0.130803,-3.140525,0.000337,-0.425625,-0.000033,-0.12743,-0.00001,-18.28329,0.000103,0.136803,-0.000005,0.513888,settle,P0
0.36130,-0.61461,0.00007,-1.94380,1.71353,-0.00158,-11.13922,-0.000143,-0.130803,-3.140525,0.000337,-0.425625,-0.000033,-0.12743,-0.00001,-18.28329,0.000103,0.136803,-0.000005,0.513888,settle,P0
0.37214,-0.63730,0.00007,-2.02169,1.78376,-0.00164,-11.22182,-0.000140,-0.127937,-3.140526,0.000285,-0.347652,-0.000013,100.22791,0.13040,-95.95966,0.000104,0.129873,-0.000006,0.501869,settle,P0
0.38244,-0.63730,0.00007,-2.02169,1.78376,-0.00164,-11.22182,-0.000140,-0.127937,-3.140526,0.000285,-0.347652,-0.000013,100.22791,0.13040,-95.95966,0.000104,0.129873,-0.000006,0.501869,settle,P0
0.39308,-0.63730,0.00007,-2.02169,1.78376,-0.00164,-11.22182,-0.000140,-0.127937,-3.140526,0.000285,-0.347652,-0.000013,39.90622,0.05366,-50.27646,0.000104,0.129873,-0.000006,0.501869,settle,P0
0.40377,-0.80578,0.00007,-2.59551,2.01335,-0.00182,-11.21218,-0.000124,-0.109439,-3.140528,0.000287,-0.340593,-0.000006,0.01755,0.00027,-11.23719,0.000090,0.113571,-0.000002,0.444380,settle,P0
0.41424,-0.80578,0.00007,-2.59551,2.01335,-0.00182,-11.21218,-0.000124,-0.109439,-3.140528,0.000287,-0.340593,-0.000006,-0.21746,-0.00003,-11.37794,0.000090,0.113571,-0.000002,0.444380,settle,P0
0.42460,-0.82824,0.00007,-2.67150,2.04575,-0.00185,-11.21923,-0.000122,-0.107088,-3.140529,0.000288,-0.338403,-0.000006,-0.21746,-0.00003,-11.37794,0.000088,0.111424,-0.000001,0.436361,settle,P0
0.43530,-0.82824,0.00007,-2.67150,2.04575,-0.00185,-11.21923,-0.000122,-0.107088,-3.140529,0.000288,-0.338403,-0.000006,-0.21746,-0.00003,-11.37794,0.000088,0.111424,-0.000001,0.436361,settle,P0
0.44560,-0.85184,0.00007,-2.75129,2.10177,-0.00189,-11.18807,-0.000120,-0.104632,-3.140529,0.000239,-0.282120,-0.000005,88.09720,0.13481,273.10126,0.000089,0.106089,-0.000001,0.429870,settle,P0
0.45620,-0.96973,0.00007,-3.14701,2.23105,-0.00200,-11.12985,-0.000111,-0.094000,-3.140530,0.000237,-0.277017,-0.000003,37.25879,0.06036,121.33102,0.000082,0.096659,0.000001,0.392927,settle,P0
0.46685,-0.96973,0.00007,-3.14701,2.23105,-0.00200,-11.12985,-0.000111,-0.094000,-3.140530,0.000237,-0.277017,-0.000003,-0.11569,0.00022,-7.34332,0.000082,0.096659,0.000001,0.392927,settle,P0
0.47757,-1.04555,0.00007,-3.39864,2.31070,-0.00207,-11.07665,-0.000106,-0.087681,-3.140531,0.000236,-0.265023,-0.000001,-0.28115,-0.00004,-6.70619,0.000077,0.090541,0.000003,0.370271,settle,P0
0.48837,-1.04555,0.00007,-3.39864,2.31070,-0.00207,-11.07665,-0.000106,-0.087681,-3.140531,0.000236,-0.265023,-0.000001,-0.28115,-0.00004,-6.70619,0.000077,0.090541,0.000003,0.370271,settle,P0
0.49874,-1.04555,0.00007,-3.39864,2.31070,-0.00207,-11.07665,-0.000106,-0.087681,-3.140531,0.000236,-0.265023,-0.000001,-0.28115,-0.00004,-6.70619,0.000077,0.090541,0.000003,0.370271,settle,P0
0.50909,-1.04555,0.00007,-3.39864,2.31070,-0.00207,-11.07665,-0.000106,-0.087681,-3.140531,0.000236,-0.265023,-0.000001,48.59778,0.09146,535.19788,0.000077,0.090541,0.000003,0.370271,settle,P0
0.51990,-1.06937,0.00007,-3.47729,2.35126,-0.00210,-10.88283,-0.000104,-0.085818,-3.140532,0.000203,-0.227908,0.000006,48.59778,0.09146,535.19788,0.000077,0.086814,0.000002,0.372054,settle,P0
0.53025,-1.24234,0.00007,-4.03900,2.49485,-0.00222,-10.72913,-0.000093,-0.073571,-3.140533,0.000203,-0.230886,0.000008,26.38348,0.05548,290.71060,0.000068,0.076458,0.000004,0.323307,settle,P0
0.54104,-1.24234,0.00007,-4.03900,2.49485,-0.00222,-10.72913,-0.000093,-0.073571,-3.140533,0.000203,-0.230886,0.000008,-0.30523,0.00000,-5.72445,0.000068,0.076458,0.000004,0.323307,settle,P0
0.55171,-1.26512,0.00007,-4.11185,2.51470,-0.00223,-10.69689,-0.000091,-0.071980,-3.140533,0.000204,-0.229100,0.000008,-0.30523,0.00000,-5.72445,0.000067,0.074989,0.000004,0.317604,settle,P0
0.56243,-1.26512,0.00007,-4.11185,2.51470,-0.00223,-10.69689,-0.000091,-0.071980,-3.140533,0.000204,-0.229100,0.000008,-0.30523,0.00000,-5.72445,0.000067,0.074989,0.000004,0.317604,settle,P0
0.57282,-1.26512,0.00007,-4.11185,2.51470,-0.00223,-10.69689,-0.000091,-0.071980,-3.140533,0.000204,-0.229100,0.000008,-0.30523,0.00000,-5.72445,0.000067,0.074989,0.000004,0.317604,settle,P0
0.58348,-1.28789,0.00007,-4.18451,2.54445,-0.00225,-10.48067,-0.000090,-0.070405,-3.140533,0.000175,-0.187759,0.000007,33.44065,0.08550,705.77917,0.000067,0.071266,0.000004,0.321120,settle,P0
0.59390,-1.28789,0.00007,-4.18451,2.54445,-0.00225,-10.48067,-0.000090,-0.070405,-3.140533,0.000175,-0.187759,0.000007,12.02593,0.03648,309.84509,0.000067,0.071266,0.000004,0.321120,settle,P0
0.60450,-1.46055,0.00007,-4.72577,2.65714,-0.00235,-10.29105,-0.000081,-0.060211,-3.140533,0.000170,-0.186816,0.000008,-0.29546,0.00016,-1.83759,0.000059,0.062452,0.000005,0.276297,settle,P0
0.61514,-1.48324,0.00007,-4.79570,2.67199,-0.00236,-10.24514,-0.000079,-0.058921,-3.140533,0.000172,-0.185776,0.000008,-0.35513,-0.00002,-3.80921,0.000058,0.061283,0.000005,0.271579,settle,P0
0.62568,-1.48324,0.00007,-4.79570,2.67199,-0.00236,-10.24514,-0.000079,-0.058921,-3.140533,0.000172,-0.185776,0.000008,-0.35513,-0.00002,-3.80921,0.000058,0.061283,0.000005,0.271579,settle,P0
0.63627,-1.48324,0.00007,-4.79570,2.67199,-0.00236,-10.24514,-0.000079,-0.058921,-3.140533,0.000172,-0.185776,0.000008,-0.35513,-0.00002,-3.80921,0.000058,0.061283,0.000005,0.271579,settle,P0
0.64708,-1.50629,0.00007,-4.86640,2.69242,-0.00237,-9.96574,-0.000078,-0.057621,-3.140533,0.000151,-0.153991,0.000010,15.27490,0.06308,729.09674,0.000058,0.058345,0.000005,0.278458,settle,P0
0.65766,-1.62430,0.00007,-5.22270,2.75251,-0.00243,-9.81871,-0.000072,-0.051790,-3.140533,0.000147,-0.148019,0.000011,6.62649,0.03863,448.65234,0.000054,0.052991,0.000005,0.250096,settle,P0
0.66846,-1.70098,0.00007,-5.44903,2.78788,-0.00246,-9.69476,-0.000069,-0.048329,-3.140533,0.000147,-0.146058,0.000011,-0.38457,0.00000,-2.52184,0.000051,0.049904,0.000005,0.233614,settle,P0
0.67888,-1.70098,0.00007,-5.44903,2.78788,-0.00246,-9.69476,-0.000069,-0.048329,-3.140533,0.000147,-0.146058,0.000011,-0.38457,0.00000,-2.52184,0.000051,0.049904,0.000005,0.233614,settle,P0
0.68956,-1.70098,0.00007,-5.44903,2.78788,-0.00246,-9.69476,-0.000069,-0.048329,-3.140533,0.000147,-0.146058,0.000011,-0.38457,0.00000,-2.52184,0.000051,0.049904,0.000005,0.233614,settle,P0
0.70032,-1.70098,0.00007,-5.44903,2.78788,-0.00246,-9.69476,-0.000069,-0.048329,-3.140533,0.000147,-0.146058,0.000011,-0.38457,0.00000,-2.52184,0.000051,0.049904,0.000005,0.233614,settle,P0
