t_s,u_b,v_b,w_b,p,q_raw,r,phi,theta,psi,x_ned,y_ned,z_ned,cmd_p,cmd_q,cmd_r,cmd_thrust
0.010571,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,-0.000255,-0.310697,-3.140532,-0.0005,0.0001,0.0205,0.000219,0.267025,-0.001822,0.265000
0.021524,0.000888,0.000305,0.000518,-0.005279,-0.007054,0.000695,-0.000255,-0.310697,-3.140532,-0.0005,0.0001,0.0205,0.000225,0.267032,-0.001824,0.265000
0.032431,0.000888,0.000305,0.000518,-0.005279,-0.007054,0.000695,-0.000255,-0.310697,-3.140532,-0.0005,0.0001,0.0205,0.000225,0.267032,-0.001824,0.265000
0.043295,0.000888,0.000305,0.000518,-0.005279,-0.007054,0.000695,-0.000255,-0.310697,-3.140532,-0.0005,0.0001,0.0205,0.000225,0.267032,-0.001824,0.265000
0.055573,0.020606,0.000173,-0.017865,-0.001584,-0.224906,0.000359,-0.000309,-0.308334,-3.140553,-0.0008,0.0001,0.0205,0.000267,0.265219,-0.001788,0.265000
0.066593,0.027650,0.000270,-0.028771,-0.002175,-0.345709,0.000272,-0.000312,-0.306034,-3.140532,-0.0011,0.0001,0.0204,0.000271,0.263363,-0.001823,0.265000
0.077258,0.027650,0.000270,-0.028771,-0.002175,-0.345709,0.000272,-0.000312,-0.306034,-3.140532,-0.0011,0.0001,0.0204,0.000271,0.263363,-0.001823,0.265000
0.087651,0.027650,0.000270,-0.028771,-0.002175,-0.345709,0.000272,-0.000312,-0.306034,-3.140532,-0.0011,0.0001,0.0204,0.000271,0.263363,-0.001823,0.265000
0.098001,0.082848,0.000881,-0.076302,0.000470,-0.811211,-0.000089,-0.000315,-0.302837,-3.140514,-0.0014,0.0001,0.0202,0.000270,0.261081,-0.001854,0.265000
0.108486,0.119582,0.001972,-0.080763,-0.017164,-0.873645,-0.000433,-0.000230,-0.276665,-3.140469,-0.0045,0.0000,0.0186,0.000216,0.238650,-0.001930,0.265000
0.118942,0.157645,0.002960,-0.080470,0.000120,-0.839647,-0.001423,-0.000268,-0.256846,-3.140487,-0.0082,-0.0000,0.0176,0.000230,0.221582,-0.001897,0.265000
0.129519,0.157645,0.002960,-0.080470,0.000120,-0.839647,-0.001423,-0.000268,-0.256846,-3.140487,-0.0082,-0.0000,0.0176,0.000230,0.221582,-0.001897,0.265000
0.140072,0.157645,0.002960,-0.080470,0.000120,-0.839647,-0.001423,-0.000268,-0.256846,-3.140487,-0.0082,-0.0000,0.0176,0.000230,0.221582,-0.001897,0.265000
0.150593,0.157645,0.002960,-0.080470,0.000120,-0.839647,-0.001423,-0.000268,-0.256846,-3.140487,-0.0082,-0.0000,0.0176,0.000230,0.221582,-0.001897,0.265000
0.161640,0.244531,0.002857,-0.080473,0.002732,-0.596434,-0.006860,-0.000249,-0.250960,-3.140513,-0.0096,-0.0000,0.0173,0.000211,0.216281,-0.001842,0.265000
0.172330,0.280487,0.002857,-0.076211,0.001159,-0.570219,-0.006439,-0.000074,-0.227682,-3.140747,-0.0182,-0.0001,0.0166,0.000062,0.196248,-0.001441,0.265000
0.182773,0.280487,0.002857,-0.076211,0.001159,-0.570219,-0.006439,-0.000074,-0.227682,-3.140747,-0.0182,-0.0001,0.0166,0.000062,0.196248,-0.001441,0.265000
0.193551,0.313759,0.002854,-0.074116,0.000544,-0.575513,-0.005295,-0.000024,-0.214438,-3.140888,-0.0252,-0.0002,0.0164,0.000020,0.184871,-0.001201,0.265000
0.204268,0.313759,0.002854,-0.074116,0.000544,-0.575513,-0.005295,-0.000024,-0.214438,-3.140888,-0.0252,-0.0002,0.0164,0.000020,0.184871,-0.001201,0.265000
0.215006,0.313759,0.002854,-0.074116,0.000544,-0.575513,-0.005295,-0.000024,-0.214438,-3.140888,-0.0252,-0.0002,0.0164,0.000020,0.184871,-0.001201,0.265000
0.226152,0.386748,0.002771,-0.077567,0.000488,-0.504507,-0.002198,-0.000014,-0.210182,-3.140923,-0.0278,-0.0002,0.0164,0.000011,0.181143,-0.001147,0.265000
0.236936,0.386748,0.002771,-0.077567,0.000488,-0.504507,-0.002198,-0.000014,-0.210182,-3.140923,-0.0278,-0.0002,0.0164,0.000011,0.181143,-0.001147,0.265000
0.247638,0.432306,0.002765,-0.069714,0.000528,-0.492716,-0.001644,0.000037,-0.183564,-3.141052,-0.0484,-0.0004,0.0166,-0.000032,0.158255,-0.000926,0.265000
0.258246,0.444913,0.002754,-0.068973,0.000519,-0.491916,-0.001688,0.000042,-0.180148,-3.141063,-0.0515,-0.0004,0.0167,-0.000037,0.155318,-0.000906,0.265000
0.268638,0.444913,0.002754,-0.068973,0.000519,-0.491916,-0.001688,0.000042,-0.180148,-3.141063,-0.0515,-0.0004,0.0167,-0.000037,0.155318,-0.000906,0.265000
0.279708,0.444913,0.002754,-0.068973,0.000519,-0.491916,-0.001688,0.000042,-0.180148,-3.141063,-0.0515,-0.0004,0.0167,-0.000037,0.155318,-0.000906,0.265000
0.290508,0.458276,0.002743,-0.068098,0.000501,-0.491621,-0.001808,0.000049,-0.176460,-3.141077,-0.0550,-0.0004,0.0168,-0.000042,0.152148,-0.000882,0.265000
0.300950,0.506159,0.002679,-0.071045,0.000284,-0.424606,-0.002098,0.000049,-0.176460,-3.141077,-0.0550,-0.0004,0.0168,-0.000042,0.152081,-0.000882,0.265000
0.311492,0.506159,0.002679,-0.071045,0.000284,-0.424606,-0.002098,0.000049,-0.176460,-3.141077,-0.0550,-0.0004,0.0168,-0.000042,0.152081,-0.000882,0.265000
0.322264,0.544220,0.002684,-0.061261,0.000219,-0.410725,-0.002072,0.000082,-0.153867,-3.141185,-0.0818,-0.0006,0.0178,-0.000071,0.132649,-0.000697,0.265000
0.332647,0.554729,0.002678,-0.060187,0.000212,-0.410410,-0.002036,0.000086,-0.151017,-3.141199,-0.0857,-0.0006,0.0179,-0.000074,0.130200,-0.000673,0.265000
