t_s,u_b,v_b,w_b,p,q_raw,r,phi,theta,psi,x_ned,y_ned,z_ned,cmd_p,cmd_q,cmd_r,cmd_thrust
0.011370,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,-0.000268,-0.310702,-3.140451,-0.0005,0.0001,0.0205,0.000230,0.267029,-0.001963,0.600000
0.022387,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,-0.000268,-0.310702,-3.140451,-0.0005,0.0001,0.0205,0.000230,0.267029,-0.001963,0.600000
0.032972,0.057197,0.000386,-0.070904,0.002973,-0.682214,-0.001087,-0.000268,-0.310702,-3.140451,-0.0005,0.0001,0.0205,0.000227,0.267711,-0.001961,0.600000
0.043408,0.103568,0.000331,-0.238414,0.002745,-0.998242,-0.003365,-0.000281,-0.296630,-3.140517,-0.0023,0.0001,0.0194,0.000238,0.255933,-0.001843,0.600000
0.055748,0.152919,0.000258,-0.478325,0.000751,-0.816725,-0.004996,-0.000210,-0.275132,-3.140625,-0.0075,0.0001,0.0123,0.000180,0.237275,-0.001654,0.600000
0.066195,0.152919,0.000258,-0.478325,0.000751,-0.816725,-0.004996,-0.000210,-0.275132,-3.140625,-0.0075,0.0001,0.0123,0.000180,0.237275,-0.001654,0.600000
0.076638,0.152919,0.000258,-0.478325,0.000751,-0.816725,-0.004996,-0.000210,-0.275132,-3.140625,-0.0075,0.0001,0.0123,0.000180,0.237275,-0.001654,0.600000
0.087121,0.152919,0.000258,-0.478325,0.000751,-0.816725,-0.004996,-0.000210,-0.275132,-3.140625,-0.0075,0.0001,0.0123,0.000180,0.237275,-0.001654,0.600000
0.098246,0.244254,0.000094,-1.228288,0.000436,-0.540695,-0.004974,-0.000197,-0.270119,-3.140666,-0.0099,0.0001,0.0084,0.000169,0.232691,-0.001583,0.600000
0.108966,0.244254,0.000094,-1.228288,0.000436,-0.540695,-0.004974,-0.000197,-0.270119,-3.140666,-0.0099,0.0001,0.0084,0.000169,0.232691,-0.001583,0.600000
0.119702,0.306971,0.000061,-1.591461,0.000591,-0.581259,-0.004124,-0.000136,-0.250283,-3.140861,-0.0280,0.0001,-0.0263,0.000116,0.215684,-0.001249,0.600000
