t,x,y,z,vx_b,vy_b,vz_b,phi,theta,psi,p,q,r,ax_b,ay_b,az_b,cmd_roll,cmd_pitch,cmd_yaw,cmd_thrust,phase
0.0000,-0.00047,0.00006,0.02055,0.00000,0.00000,0.00000,-0.000268,-0.310680,-3.140503,0.000000,0.000000,-0.000000,-2.99897,-0.00250,-9.34036,0.000000,0.267009,0.000000,0.278324,settle
0.0255,-0.00047,0.00006,0.02055,0.00256,-0.00007,0.00059,-0.000268,-0.310680,-3.140503,0.001063,-0.007994,0.000965,44.18651,-4.78369,-14.71865,0.000000,0.267467,-0.000014,0.278354,settle
0.0477,-0.00055,0.00005,0.02062,0.01654,-0.00002,-0.01111,-0.000369,-0.310495,-3.140417,-0.000998,-0.137415,0.000427,92.05011,1.89334,-143.58176,0.000000,0.274724,-0.000006,0.277753,settle
0.0686,-0.00238,0.00005,0.01961,0.06047,0.00055,-0.06337,-0.000355,-0.293809,-3.140352,0.000652,-0.722225,-0.000256,-1.27517,0.01800,-10.75494,0.000000,0.293891,0.000004,0.273696,settle
0.0895,-0.00238,0.00005,0.01961,0.06047,0.00055,-0.06337,-0.000355,-0.293809,-3.140352,0.000652,-0.722225,-0.000256,-1.27517,0.01800,-10.75494,0.000000,0.293891,0.000004,0.273696,settle
0.1101,-0.00797,-0.00006,0.01741,0.18009,0.00350,-0.09640,-0.000317,-0.255724,-3.140363,0.002289,-0.899098,-0.000492,112.67342,0.13622,-28.63821,0.000000,0.271293,0.000007,0.269087,settle
0.1310,-0.01305,-0.00015,0.01632,0.21804,0.00345,-0.09930,-0.000242,-0.236100,-3.140373,0.003535,-0.776886,0.000165,0.03349,0.00022,-9.95679,0.000000,0.247426,-0.000002,0.267597,settle
0.1519,-0.01480,-0.00018,0.01601,0.25974,0.00338,-0.10562,-0.000221,-0.230982,-3.140372,0.001829,-0.664082,0.000529,121.06932,0.10821,-31.80058,0.000000,0.236563,-0.000008,0.266949,settle
0.1726,-0.01480,-0.00018,0.01601,0.25974,0.00338,-0.10562,-0.000221,-0.230982,-3.140372,0.001829,-0.664082,0.000529,121.06932,0.10821,-31.80058,0.000000,0.236563,-0.000008,0.266949,settle
0.1932,-0.01949,-0.00023,0.01527,0.33298,0.00327,-0.11469,-0.000192,-0.219671,-3.140365,0.000095,-0.612564,0.000211,156.16537,0.13713,-35.91846,0.000000,0.223890,-0.000003,0.265790,settle
0.2135,-0.03156,-0.00038,0.01382,0.36514,0.00322,-0.11156,-0.000184,-0.197443,-3.140358,0.000298,-0.623465,-0.000009,-0.29395,-0.00028,-9.82281,0.000000,0.205411,0.000000,0.264672,settle
0.2344,-0.04785,-0.00053,0.01238,0.42473,0.00313,-0.10914,-0.000165,-0.172917,-3.140367,0.000485,-0.598600,-0.000167,-0.02432,-0.00002,-9.84471,0.000000,0.182909,0.000003,0.263555,settle
0.2549,-0.05109,-0.00056,0.01214,0.45572,0.00309,-0.10922,-0.000162,-0.168770,-3.140368,0.000418,-0.525373,-0.000104,70.42151,0.06712,-10.99535,0.000000,0.175149,0.000002,0.263359,settle
0.2755,-0.05906,-0.00062,0.01161,0.47676,0.00306,-0.10430,-0.000154,-0.159787,-3.140372,0.000370,-0.479169,-0.000042,70.42151,0.06712,-10.99535,0.000000,0.164781,0.000001,0.263204,settle
0.2962,-0.05906,-0.00062,0.01161,0.50868,0.00301,-0.10138,-0.000154,-0.159787,-3.140372,0.000324,-0.453019,0.000033,54.01730,0.05326,-2.55033,0.000000,0.163283,-0.000000,0.263350,settle
0.3168,-0.09578,-0.00088,0.01052,0.56613,0.00293,-0.07774,-0.000131,-0.128451,-3.140374,0.000284,-0.436809,0.000029,41.98573,0.04247,-4.11488,0.000000,0.135423,-0.000000,0.263314,settle
0.3372,-0.09980,-0.00091,0.01051,0.57497,0.00292,-0.07493,-0.000130,-0.125432,-3.140375,0.000275,-0.434729,0.000020,0.02586,0.00003,-9.57200,0.000000,0.132709,-0.000000,0.263352,settle
0.3581,-0.10391,-0.00094,0.01051,0.59670,0.00289,-0.07056,-0.000128,-0.122560,-3.140375,0.000254,-0.384302,-0.000002,56.43887,0.05948,-2.69546,0.000000,0.127351,0.000000,0.263475,settle
0.3788,-0.10391,-0.00094,0.01051,0.59670,0.00289,-0.07056,-0.000128,-0.122560,-3.140375,0.000254,-0.384302,-0.000002,-0.95661,-0.00101,-9.72152,0.000000,0.127351,0.000000,0.263475,settle
0.3995,-0.13668,-0.00114,0.01090,0.65079,0.00282,-0.05337,-0.000115,-0.103792,-3.140378,0.000200,-0.337053,-0.000008,31.16983,0.03497,-6.65854,0.000000,0.108515,0.000000,0.263765,settle
0.4202,-0.14730,-0.00120,0.01115,0.66967,0.00279,-0.04810,-0.000112,-0.098316,-3.140378,0.000185,-0.321412,-0.000000,-0.12015,-0.00013,-9.70066,0.000000,0.102912,0.000000,0.263881,settle
0.4409,-0.16840,-0.00132,0.01174,0.69449,0.00276,-0.03945,-0.000106,-0.088621,-3.140380,0.000164,-0.282617,0.000004,0.00331,0.00002,-9.69228,0.000000,0.092357,-0.000000,0.264071,settle
0.4616,-0.16840,-0.00132,0.01174,0.69449,0.00276,-0.03945,-0.000106,-0.088621,-3.140380,0.000164,-0.282617,0.000004,23.81617,0.02908,-7.61703,0.000000,0.092357,-0.000000,0.264071,settle
0.4822,-0.16840,-0.00132,0.01174,0.69449,0.00276,-0.03945,-0.000106,-0.088621,-3.140380,0.000164,-0.282617,0.000004,56.28332,0.07384,-4.88529,0.000000,0.092357,-0.000000,0.264071,settle
0.5029,-0.20586,-0.00152,0.01306,0.73498,0.00272,-0.02599,-0.000098,-0.074813,-3.140381,0.000130,-0.246508,-0.000000,25.50283,0.03447,-7.31541,0.000000,0.078421,0.000000,0.264444,settle
0.5236,-0.23586,-0.00167,0.01430,0.75619,0.00270,-0.01688,-0.000093,-0.065260,-3.140382,0.000114,-0.219559,-0.000001,-0.02137,-0.00001,-9.73079,0.000000,0.068667,0.000000,0.264721,settle
0.5444,-0.24113,-0.00170,0.01453,0.76705,0.00269,-0.01478,-0.000092,-0.063772,-3.140382,0.000105,-0.199935,-0.000001,29.46786,0.04503,-7.20706,0.000000,0.066263,0.000000,0.264801,settle
0.5650,-0.24113,-0.00170,0.01453,0.76705,0.00269,-0.01478,-0.000092,-0.063772,-3.140382,0.000105,-0.199935,-0.000001,29.46786,0.04503,-7.20706,0.000000,0.066263,0.000000,0.264801,settle
0.5855,-0.25395,-0.00176,0.01510,0.78587,0.00267,-0.01076,-0.000091,-0.060421,-3.140382,0.000090,-0.177955,0.000000,45.15771,0.07438,-6.56862,0.000000,0.062124,-0.000000,0.264946,settle
0.6062,-0.28199,-0.00190,0.01641,0.79368,0.00267,-0.00510,-0.000087,-0.053929,-3.140383,0.000083,-0.175304,0.000000,22.80260,0.03894,-8.17086,0.000000,0.056393,-0.000000,0.265131,settle
0.6267,-0.30859,-0.00202,0.01769,0.80539,0.00266,0.00027,-0.000085,-0.048196,-3.140383,0.000076,-0.169340,0.000000,-0.10933,-0.00016,-9.77405,0.000000,0.051124,-0.000000,0.265321,settle
0.6475,-0.31988,-0.00208,0.01824,0.81611,0.00265,0.00272,-0.000084,-0.045927,-3.140383,0.000068,-0.150369,-0.000000,19.56128,0.03881,-8.77919,0.000000,0.048087,0.000000,0.265416,settle
0.6680,-0.31988,-0.00208,0.01824,0.81611,0.00265,0.00272,-0.000084,-0.045927,-3.140383,0.000068,-0.150369,-0.000000,19.56128,0.03881,-8.77919,0.000000,0.048087,0.000000,0.265416,settle
0.6885,-0.33375,-0.00214,0.01892,0.82919,0.00265,0.00530,-0.000082,-0.043369,-3.140384,0.000058,-0.129675,-0.000000,33.65601,0.07331,-8.86739,0.000000,0.044702,0.000000,0.265514,settle
0.7096,-0.36344,-0.00229,0.02040,0.83548,0.00265,0.00943,-0.000080,-0.038595,-3.140384,0.000054,-0.129785,-0.000000,17.01482,0.03938,-9.36309,0.000000,0.040606,0.000000,0.265669,settle
0.7304,-0.39121,-0.00240,0.02179,0.84247,0.00265,0.01314,-0.000078,-0.034337,-3.140385,0.000048,-0.125504,0.000000,-0.04188,-0.00004,-9.80116,0.000000,0.036701,-0.000000,0.265813,settle
0.7509,-0.40316,-0.00246,0.02239,0.84978,0.00265,0.01458,-0.000078,-0.032649,-3.140385,0.000044,-0.108718,0.000000,16.32033,0.04443,-9.96905,0.000000,0.034289,-0.000000,0.265871,settle
0.7714,-0.40316,-0.00246,0.02239,0.84978,0.00265,0.01458,-0.000078,-0.032649,-3.140385,0.000044,-0.108718,0.000000,16.32033,0.04443,-9.96905,0.000000,0.034289,-0.000000,0.265871,settle
0.7919,-0.41734,-0.00252,0.02309,0.85861,0.00265,0.01584,-0.000077,-0.030829,-3.140385,0.000037,-0.093002,0.000000,17.39626,0.05284,-10.64846,0.000000,0.031824,-0.000000,0.265918,settle
0.8126,-0.44813,-0.00267,0.02460,0.86284,0.00266,0.01856,-0.000076,-0.027398,-3.140385,0.000034,-0.093197,0.000000,10.09533,0.03432,-10.51288,0.000000,0.028886,-0.000000,0.266027,settle
