t_s,u_b,v_b,w_b,p,q_raw,r,phi,theta,psi,x_ned,y_ned,z_ned,cmd_p,cmd_q,cmd_r,cmd_thrust
0.011098,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,-0.000266,-0.310690,-3.140508,-0.0005,0.0001,0.0205,0.000229,0.267018,-0.001865,0.400000
0.022000,0.021508,0.000143,-0.013058,0.002587,-0.152040,0.000172,-0.000266,-0.310690,-3.140508,-0.0005,0.0001,0.0205,0.000226,0.267170,-0.001865,0.400000
0.032389,0.021508,0.000143,-0.013058,0.002587,-0.152040,0.000172,-0.000266,-0.310690,-3.140508,-0.0005,0.0001,0.0205,0.000226,0.267170,-0.001865,0.400000
0.042949,0.053072,0.000285,-0.062519,-0.000277,-0.705104,0.000092,-0.000308,-0.306756,-3.140567,-0.0011,0.0001,0.0204,0.000265,0.264343,-0.001764,0.400000
0.053561,0.098551,0.000238,-0.121437,0.002839,-1.089243,-0.002778,-0.000255,-0.285157,-3.140595,-0.0034,0.0001,0.0189,0.000216,0.246164,-0.001709,0.400000
0.064116,0.098551,0.000238,-0.121437,0.002839,-1.089243,-0.002778,-0.000255,-0.285157,-3.140595,-0.0034,0.0001,0.0189,0.000216,0.246164,-0.001709,0.400000
0.074417,0.098551,0.000238,-0.121437,0.002839,-1.089243,-0.002778,-0.000255,-0.285157,-3.140595,-0.0034,0.0001,0.0189,0.000216,0.246164,-0.001709,0.400000
0.085161,0.098551,0.000238,-0.121437,0.002839,-1.089243,-0.002778,-0.000255,-0.285157,-3.140595,-0.0034,0.0001,0.0189,0.000216,0.246164,-0.001709,0.400000
0.095663,0.192839,0.000118,-0.347343,0.000383,-0.571368,-0.005607,-0.000227,-0.277791,-3.140626,-0.0045,0.0001,0.0181,0.000195,0.239315,-0.001651,0.400000
0.106001,0.239846,0.000096,-0.462341,0.000373,-0.556117,-0.005079,-0.000140,-0.253221,-3.140831,-0.0135,0.0001,0.0095,0.000120,0.218184,-0.001300,0.400000
0.116820,0.239846,0.000096,-0.462341,0.000373,-0.556117,-0.005079,-0.000140,-0.253221,-3.140831,-0.0135,0.0001,0.0095,0.000120,0.218184,-0.001300,0.400000
0.127305,0.283291,0.000074,-0.583611,0.000565,-0.596146,-0.004209,-0.000101,-0.239688,-3.140945,-0.0225,0.0001,-0.0009,0.000086,0.206593,-0.001105,0.400000
0.137814,0.283291,0.000074,-0.583611,0.000565,-0.596146,-0.004209,-0.000101,-0.239688,-3.140945,-0.0225,0.0001,-0.0009,0.000086,0.206593,-0.001105,0.400000
0.148524,0.283291,0.000074,-0.583611,0.000565,-0.596146,-0.004209,-0.000101,-0.239688,-3.140945,-0.0225,0.0001,-0.0009,0.000086,0.206593,-0.001105,0.400000
