t_s,u_b,v_b,w_b,p,q_raw,r,phi,theta,psi,x_ned,y_ned,z_ned,cmd_p,cmd_q,cmd_r,cmd_thrust
0.011199,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,-0.000249,-0.310720,-3.140530,-0.0005,0.0001,0.0205,0.000214,0.267044,-0.001827,0.265000
0.022096,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,-0.000249,-0.310720,-3.140530,-0.0005,0.0001,0.0205,0.000214,0.267044,-0.001827,0.265000
0.032716,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,-0.000249,-0.310720,-3.140530,-0.0005,0.0001,0.0205,0.000214,0.267044,-0.001827,0.265000
0.043345,0.000806,0.000307,0.000517,-0.005278,-0.007009,0.000659,-0.000249,-0.310720,-3.140530,-0.0005,0.0001,0.0205,0.000219,0.267051,-0.001828,0.265000
0.055611,0.000806,0.000307,0.000517,-0.005278,-0.007009,0.000659,-0.000249,-0.310720,-3.140530,-0.0005,0.0001,0.0205,0.000219,0.267051,-0.001828,0.265000
0.066308,0.020252,0.000171,-0.017446,-0.001579,-0.217949,0.000357,-0.000307,-0.308432,-3.140558,-0.0008,0.0001,0.0205,0.000266,0.265296,-0.001779,0.265000
0.076787,0.020252,0.000171,-0.017446,-0.001579,-0.217949,0.000357,-0.000307,-0.308432,-3.140558,-0.0008,0.0001,0.0205,0.000266,0.265296,-0.001779,0.265000
0.087127,0.027276,0.000267,-0.028278,-0.002184,-0.339581,0.000273,-0.000311,-0.306175,-3.140537,-0.0011,0.0001,0.0204,0.000270,0.263478,-0.001815,0.265000
0.097689,0.027276,0.000267,-0.028278,-0.002184,-0.339581,0.000273,-0.000311,-0.306175,-3.140537,-0.0011,0.0001,0.0204,0.000270,0.263478,-0.001815,0.265000
0.108332,0.083037,0.001588,-0.076293,-0.000594,-0.811248,-0.000317,-0.000314,-0.302844,-3.140517,-0.0014,0.0001,0.0202,0.000270,0.261087,-0.001848,0.265000
0.118846,0.083037,0.001588,-0.076293,-0.000594,-0.811248,-0.000317,-0.000314,-0.302844,-3.140517,-0.0014,0.0001,0.0202,0.000270,0.261087,-0.001848,0.265000
0.129849,0.119471,0.002849,-0.081231,-0.000968,-0.861819,-0.000984,-0.000298,-0.276523,-3.140475,-0.0046,0.0000,0.0186,0.000257,0.238516,-0.001919,0.265000
0.140840,0.157831,0.004417,-0.080525,-0.002198,-0.839720,-0.002002,-0.000268,-0.256681,-3.140494,-0.0082,-0.0001,0.0176,0.000232,0.221441,-0.001885,0.265000
0.151415,0.157831,0.004417,-0.080525,-0.002198,-0.839720,-0.002002,-0.000268,-0.256681,-3.140494,-0.0082,-0.0001,0.0176,0.000232,0.221441,-0.001885,0.265000
0.161854,0.157831,0.004417,-0.080525,-0.002198,-0.839720,-0.002002,-0.000268,-0.256681,-3.140494,-0.0082,-0.0001,0.0176,0.000232,0.221441,-0.001885,0.265000
0.172449,0.157831,0.004417,-0.080525,-0.002198,-0.839720,-0.002002,-0.000268,-0.256681,-3.140494,-0.0082,-0.0001,0.0176,0.000232,0.221441,-0.001885,0.265000
0.183485,0.245463,0.004613,-0.081110,0.003977,-0.599606,-0.006643,-0.000263,-0.250844,-3.140519,-0.0096,-0.0001,0.0173,0.000222,0.216184,-0.001833,0.265000
0.194274,0.281788,0.004612,-0.076663,0.002104,-0.570304,-0.006191,-0.000070,-0.226803,-3.140751,-0.0185,-0.0003,0.0165,0.000058,0.195493,-0.001434,0.265000
0.205138,0.314981,0.004604,-0.074547,0.000948,-0.574760,-0.005124,-0.000006,-0.213544,-3.140887,-0.0256,-0.0004,0.0163,0.000004,0.184102,-0.001203,0.265000
0.215953,0.314981,0.004604,-0.074547,0.000948,-0.574760,-0.005124,-0.000006,-0.213544,-3.140887,-0.0256,-0.0004,0.0163,0.000004,0.184102,-0.001203,0.265000
0.226510,0.314981,0.004604,-0.074547,0.000948,-0.574760,-0.005124,-0.000006,-0.213544,-3.140887,-0.0256,-0.0004,0.0163,0.000004,0.184102,-0.001203,0.265000
0.237340,0.314981,0.004604,-0.074547,0.000948,-0.574760,-0.005124,-0.000006,-0.213544,-3.140887,-0.0256,-0.0004,0.0163,0.000004,0.184102,-0.001203,0.265000
0.247750,0.386496,0.004515,-0.077995,0.000515,-0.502858,-0.002268,0.000006,-0.209631,-3.140919,-0.0280,-0.0004,0.0163,-0.000005,0.180667,-0.001153,0.265000
0.258150,0.386496,0.004515,-0.077995,0.000515,-0.502858,-0.002268,0.000006,-0.209631,-3.140919,-0.0280,-0.0004,0.0163,-0.000005,0.180667,-0.001153,0.265000
