t_s,u_b,v_b,w_b,p,q_raw,r,phi,theta,psi,x_ned,y_ned,z_ned,cmd_p,cmd_q,cmd_r,cmd_thrust
0.011147,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,-0.000271,-0.310678,-3.140493,-0.0005,0.0001,0.0205,0.000233,0.267008,-0.001891,0.265000
0.021991,0.000455,-0.000049,0.000577,0.000713,-0.008016,0.000180,-0.000271,-0.310678,-3.140493,-0.0005,0.0001,0.0205,0.000232,0.267016,-0.001891,0.265000
0.032659,0.000455,-0.000049,0.000577,0.000713,-0.008016,0.000180,-0.000271,-0.310678,-3.140493,-0.0005,0.0001,0.0205,0.000232,0.267016,-0.001891,0.265000
0.043053,0.012470,-0.000007,-0.006415,0.001056,-0.081322,0.000286,-0.000382,-0.310559,-3.140503,-0.0005,0.0000,0.0206,0.000327,0.266987,-0.001874,0.265000
0.054197,0.027055,0.000162,-0.027991,-0.002230,-0.342403,0.000261,-0.000348,-0.306105,-3.140416,-0.0011,0.0000,0.0204,0.000301,0.263420,-0.002023,0.265000
0.064785,0.027055,0.000162,-0.027991,-0.002230,-0.342403,0.000261,-0.000348,-0.306105,-3.140416,-0.0011,0.0000,0.0204,0.000301,0.263420,-0.002023,0.265000
0.075748,0.027055,0.000162,-0.027991,-0.002230,-0.342403,0.000261,-0.000348,-0.306105,-3.140416,-0.0011,0.0000,0.0204,0.000301,0.263420,-0.002023,0.265000
0.086504,0.027055,0.000162,-0.027991,-0.002230,-0.342403,0.000261,-0.000348,-0.306105,-3.140416,-0.0011,0.0000,0.0204,0.000301,0.263420,-0.002023,0.265000
0.096999,0.082962,0.001352,-0.075542,0.007884,-0.821136,-0.000111,-0.000350,-0.302779,-3.140396,-0.0014,0.0000,0.0201,0.000293,0.261041,-0.002056,0.265000
0.107610,0.118731,0.003027,-0.081167,0.004575,-0.856539,-0.000861,-0.000392,-0.276586,-3.140396,-0.0046,0.0000,0.0186,0.000332,0.238565,-0.002055,0.265000
0.118382,0.118731,0.003027,-0.081167,0.004575,-0.856539,-0.000861,-0.000392,-0.276586,-3.140396,-0.0046,0.0000,0.0186,0.000332,0.238565,-0.002055,0.265000
0.129010,0.156871,0.004687,-0.080663,0.004606,-0.835819,-0.001107,-0.000236,-0.256817,-3.140412,-0.0082,-0.0001,0.0176,0.000198,0.221554,-0.002027,0.265000
0.139445,0.156871,0.004687,-0.080663,0.004606,-0.835819,-0.001107,-0.000236,-0.256817,-3.140412,-0.0082,-0.0001,0.0176,0.000198,0.221554,-0.002027,0.265000
0.150023,0.156871,0.004687,-0.080663,0.004606,-0.835819,-0.001107,-0.000236,-0.256817,-3.140412,-0.0082,-0.0001,0.0176,0.000198,0.221554,-0.002027,0.265000
0.160619,0.156871,0.004687,-0.080663,0.004606,-0.835819,-0.001107,-0.000236,-0.256817,-3.140412,-0.0082,-0.0001,0.0176,0.000198,0.221554,-0.002027,0.265000
0.171299,0.243933,0.004548,-0.080666,0.002065,-0.597840,-0.007260,-0.000191,-0.250909,-3.140437,-0.0096,-0.0001,0.0173,0.000162,0.216238,-0.001972,0.265000
0.181888,0.279994,0.004537,-0.076403,0.000653,-0.576124,-0.006950,-0.000014,-0.227529,-3.140680,-0.0182,-0.0003,0.0166,0.000011,0.196123,-0.001554,0.265000
0.192382,0.313327,0.004525,-0.074256,0.000462,-0.583640,-0.005807,0.000032,-0.214057,-3.140833,-0.0253,-0.0004,0.0163,-0.000028,0.184552,-0.001295,0.265000
0.203086,0.313327,0.004525,-0.074256,0.000462,-0.583640,-0.005807,0.000032,-0.214057,-3.140833,-0.0253,-0.0004,0.0163,-0.000028,0.184552,-0.001295,0.265000
0.213568,0.313327,0.004525,-0.074256,0.000462,-0.583640,-0.005807,0.000032,-0.214057,-3.140833,-0.0253,-0.0004,0.0163,-0.000028,0.184552,-0.001295,0.265000
0.224013,0.313327,0.004525,-0.074256,0.000462,-0.583640,-0.005807,0.000032,-0.214057,-3.140833,-0.0253,-0.0004,0.0163,-0.000028,0.184552,-0.001295,0.265000
0.234580,0.386160,0.004415,-0.077678,0.000601,-0.506147,-0.002606,0.000044,-0.209743,-3.140872,-0.0277,-0.0005,0.0163,-0.000038,0.180767,-0.001234,0.265000
0.245046,0.386160,0.004415,-0.077678,0.000601,-0.506147,-0.002606,0.000044,-0.209743,-3.140872,-0.0277,-0.0005,0.0163,-0.000038,0.180767,-0.001234,0.265000
0.256211,0.431672,0.004398,-0.069636,0.000504,-0.495693,-0.001869,0.000104,-0.182672,-3.141021,-0.0484,-0.0007,0.0166,-0.000090,0.157491,-0.000979,0.265000
0.266827,0.444219,0.004383,-0.068880,0.000483,-0.494263,-0.001882,0.000109,-0.179239,-3.141034,-0.0516,-0.0007,0.0166,-0.000095,0.154539,-0.000957,0.265000
0.277592,0.444219,0.004383,-0.068880,0.000483,-0.494263,-0.001882,0.000109,-0.179239,-3.141034,-0.0516,-0.0007,0.0166,-0.000095,0.154539,-0.000957,0.265000
0.288156,0.504663,0.004282,-0.070908,0.000233,-0.422594,-0.002181,0.000115,-0.175638,-3.141048,-0.0549,-0.0008,0.0167,-0.000099,0.151372,-0.000932,0.265000
0.298804,0.504663,0.004282,-0.070908,0.000233,-0.422594,-0.002181,0.000115,-0.175638,-3.141048,-0.0549,-0.0008,0.0167,-0.000099,0.151372,-0.000932,0.265000
0.309191,0.504663,0.004282,-0.070908,0.000233,-0.422594,-0.002181,0.000115,-0.175638,-3.141048,-0.0549,-0.0008,0.0167,-0.000099,0.151372,-0.000932,0.265000
0.320109,0.542632,0.004272,-0.061185,0.000161,-0.408520,-0.002148,0.000147,-0.153147,-3.141159,-0.0816,-0.0010,0.0177,-0.000126,0.132029,-0.000742,0.265000
0.330744,0.553093,0.004261,-0.060116,0.000152,-0.408416,-0.002116,0.000150,-0.150311,-3.141173,-0.0855,-0.0010,0.0179,-0.000129,0.129591,-0.000717,0.265000
0.341449,0.553093,0.004261,-0.060116,0.000152,-0.408416,-0.002116,0.000150,-0.150311,-3.141173,-0.0855,-0.0010,0.0179,-0.000129,0.129591,-0.000717,0.265000
0.352077,0.553093,0.004261,-0.060116,0.000152,-0.408416,-0.002116,0.000150,-0.150311,-3.141173,-0.0855,-0.0010,0.0179,-0.000129,0.129591,-0.000717,0.265000
0.363056,0.603874,0.004174,-0.060707,0.000037,-0.355159,-0.001674,0.000153,-0.147258,-3.141188,-0.0897,-0.0010,0.0180,-0.000132,0.126914,-0.000692,0.265000
0.373967,0.624768,0.004174,-0.053423,0.000002,-0.344560,-0.001483,0.000164,-0.134019,-3.141251,-0.1112,-0.0012,0.0190,-0.000141,0.115526,-0.000584,0.265000
0.384656,0.635502,0.004169,-0.050204,-0.000010,-0.342554,-0.001415,0.000168,-0.128340,-3.141274,-0.1216,-0.0013,0.0195,-0.000144,0.110643,-0.000544,0.265000
0.395293,0.635502,0.004169,-0.050204,-0.000010,-0.342554,-0.001415,0.000168,-0.128340,-3.141274,-0.1216,-0.0013,0.0195,-0.000144,0.110643,-0.000544,0.265000
0.405898,0.644196,0.004158,-0.048955,-0.000016,-0.342163,-0.001378,0.000169,-0.125964,-3.141284,-0.1261,-0.0013,0.0198,-0.000145,0.108601,-0.000528,0.265000
0.416451,0.644196,0.004158,-0.048955,-0.000016,-0.342163,-0.001378,0.000169,-0.125964,-3.141284,-0.1261,-0.0013,0.0198,-0.000145,0.108601,-0.000528,0.265000
0.427092,0.686372,0.004079,-0.048620,-0.000090,-0.294832,-0.001142,0.000170,-0.123539,-3.141293,-0.1309,-0.0013,0.0200,-0.000146,0.106469,-0.000513,0.265000
0.437647,0.686372,0.004079,-0.048620,-0.000090,-0.294832,-0.001142,0.000170,-0.123539,-3.141293,-0.1309,-0.0013,0.0200,-0.000146,0.106469,-0.000513,0.265000
0.448143,0.703662,0.004074,-0.041455,-0.000109,-0.289214,-0.001082,0.000172,-0.112590,-3.141334,-0.1554,-0.0015,0.0213,-0.000148,0.097053,-0.000442,0.265000
0.458693,0.719757,0.004058,-0.036952,-0.000124,-0.287831,-0.001058,0.000171,-0.105836,-3.141358,-0.1720,-0.0016,0.0222,-0.000147,0.091247,-0.000401,0.265000
0.469420,0.719757,0.004058,-0.036952,-0.000124,-0.287831,-0.001058,0.000171,-0.105836,-3.141358,-0.1720,-0.0016,0.0222,-0.000147,0.091247,-0.000401,0.265000
0.480142,0.719757,0.004058,-0.036952,-0.000124,-0.287831,-0.001058,0.000171,-0.105836,-3.141358,-0.1720,-0.0016,0.0222,-0.000147,0.091247,-0.000401,0.265000
0.490528,0.719757,0.004058,-0.036952,-0.000124,-0.287831,-0.001058,0.000171,-0.105836,-3.141358,-0.1720,-0.0016,0.0222,-0.000147,0.091247,-0.000401,0.265000
0.501425,0.754802,0.003988,-0.035975,-0.000161,-0.249613,-0.000931,0.000171,-0.103753,-3.141366,-0.1773,-0.0016,0.0225,-0.000147,0.089419,-0.000389,0.265000
0.511857,0.768991,0.003984,-0.029031,-0.000175,-0.243526,-0.000860,0.000169,-0.094422,-3.141399,-0.2042,-0.0018,0.0240,-0.000145,0.081393,-0.000330,0.265000
0.522372,0.768991,0.003984,-0.029031,-0.000175,-0.243526,-0.000860,0.000169,-0.094422,-3.141399,-0.2042,-0.0018,0.0240,-0.000145,0.081393,-0.000330,0.265000
0.533116,0.782227,0.003969,-0.024713,-0.000185,-0.243001,-0.000820,0.000166,-0.088759,-3.141418,-0.2222,-0.0018,0.0250,-0.000143,0.076526,-0.000299,0.265000
0.543797,0.782227,0.003969,-0.024713,-0.000185,-0.243001,-0.000820,0.000166,-0.088759,-3.141418,-0.2222,-0.0018,0.0250,-0.000143,0.076526,-0.000299,0.265000
0.554507,0.782227,0.003969,-0.024713,-0.000185,-0.243001,-0.000820,0.000166,-0.088759,-3.141418,-0.2222,-0.0018,0.0250,-0.000143,0.076526,-0.000299,0.265000
0.565090,0.782227,0.003969,-0.024713,-0.000185,-0.243001,-0.000820,0.000166,-0.088759,-3.141418,-0.2222,-0.0018,0.0250,-0.000143,0.076526,-0.000299,0.265000
0.575541,0.811489,0.003905,-0.023344,-0.000201,-0.207132,-0.000660,0.000166,-0.086964,-3.141424,-0.2282,-0.0019,0.0254,-0.000142,0.074948,-0.000289,0.265000
0.586444,0.829252,0.003892,-0.014232,-0.000215,-0.204669,-0.000602,0.000158,-0.075922,-3.141457,-0.2707,-0.0021,0.0278,-0.000136,0.065455,-0.000232,0.265000
0.596980,0.834196,0.003883,-0.013004,-0.000219,-0.205275,-0.000599,0.000156,-0.074497,-3.141461,-0.2765,-0.0021,0.0282,-0.000134,0.064231,-0.000225,0.265000
0.607648,0.834196,0.003883,-0.013004,-0.000219,-0.205275,-0.000599,0.000156,-0.074497,-3.141461,-0.2765,-0.0021,0.0282,-0.000134,0.064231,-0.000225,0.265000
0.618181,0.834196,0.003883,-0.013004,-0.000219,-0.205275,-0.000599,0.000156,-0.074497,-3.141461,-0.2765,-0.0021,0.0282,-0.000134,0.064231,-0.000225,0.265000
0.629137,0.858293,0.003826,-0.011490,-0.000219,-0.175319,-0.000525,0.000155,-0.073012,-3.141465,-0.2826,-0.0021,0.0285,-0.000133,0.062924,-0.000219,0.265000
0.639613,0.858293,0.003826,-0.011490,-0.000219,-0.175319,-0.000525,0.000155,-0.073012,-3.141465,-0.2826,-0.0021,0.0285,-0.000133,0.062924,-0.000219,0.265000
0.650538,0.872766,0.003812,-0.003165,-0.000226,-0.168470,-0.000465,0.000145,-0.063660,-3.141491,-0.3276,-0.0023,0.0312,-0.000125,0.054880,-0.000174,0.265000
0.661355,0.872766,0.003812,-0.003165,-0.000226,-0.168470,-0.000465,0.000145,-0.063660,-3.141491,-0.3276,-0.0023,0.0312,-0.000125,0.054880,-0.000174,0.265000
0.672016,0.876834,0.003805,-0.002056,-0.000229,-0.168332,-0.000454,0.000144,-0.062491,-3.141494,-0.3337,-0.0024,0.0316,-0.000124,0.053875,-0.000169,0.265000
0.682668,0.876834,0.003805,-0.002056,-0.000229,-0.168332,-0.000454,0.000144,-0.062491,-3.141494,-0.3337,-0.0024,0.0316,-0.000124,0.053875,-0.000169,0.265000
0.693433,0.896750,0.003754,-0.000482,-0.000223,-0.147215,-0.000382,0.000143,-0.061249,-3.141497,-0.3402,-0.0024,0.0320,-0.000122,0.052787,-0.000163,0.265000
0.703800,0.896750,0.003754,-0.000482,-0.000223,-0.147215,-0.000382,0.000143,-0.061249,-3.141497,-0.3402,-0.0024,0.0320,-0.000122,0.052787,-0.000163,0.265000
0.714793,0.906122,0.003741,0.004766,-0.000224,-0.142214,-0.000348,0.000135,-0.055744,-3.141511,-0.3723,-0.0025,0.0339,-0.000116,0.048050,-0.000140,0.265000
0.725370,0.912207,0.003731,0.008077,-0.000227,-0.141404,-0.000335,0.000130,-0.052349,-3.141519,-0.3939,-0.0026,0.0353,-0.000112,0.045132,-0.000127,0.265000
0.736234,0.912207,0.003731,0.008077,-0.000227,-0.141404,-0.000335,0.000130,-0.052349,-3.141519,-0.3939,-0.0026,0.0353,-0.000112,0.045132,-0.000127,0.265000
0.746444,0.912207,0.003731,0.008077,-0.000227,-0.141404,-0.000335,0.000130,-0.052349,-3.141519,-0.3939,-0.0026,0.0353,-0.000112,0.045132,-0.000127,0.265000
0.757193,0.912207,0.003731,0.008077,-0.000227,-0.141404,-0.000335,0.000130,-0.052349,-3.141519,-0.3939,-0.0026,0.0353,-0.000112,0.045132,-0.000127,0.265000
0.767728,0.928277,0.003686,0.009662,-0.000214,-0.122112,-0.000280,0.000129,-0.051387,-3.141521,-0.4003,-0.0027,0.0356,-0.000110,0.044286,-0.000123,0.265000
0.778563,0.934653,0.003676,0.014189,-0.000216,-0.120106,-0.000263,0.000122,-0.046877,-3.141531,-0.4333,-0.0028,0.0377,-0.000104,0.040408,-0.000106,0.265000
0.788880,0.940668,0.003664,0.017158,-0.000220,-0.120072,-0.000256,0.000116,-0.044082,-3.141536,-0.4551,-0.0029,0.0390,-0.000100,0.038006,-0.000096,0.265000
0.799488,0.940668,0.003664,0.017158,-0.000220,-0.120072,-0.000256,0.000116,-0.044082,-3.141536,-0.4551,-0.0029,0.0390,-0.000100,0.038006,-0.000096,0.265000
0.809813,0.940668,0.003664,0.017158,-0.000220,-0.120072,-0.000256,0.000116,-0.044082,-3.141536,-0.4551,-0.0029,0.0390,-0.000100,0.038006,-0.000096,0.265000
0.820516,0.940668,0.003664,0.017158,-0.000220,-0.120072,-0.000256,0.000116,-0.044082,-3.141536,-0.4551,-0.0029,0.0390,-0.000100,0.038006,-0.000096,0.265000
0.831238,0.954068,0.003624,0.018877,-0.000201,-0.102542,-0.000216,0.000115,-0.043202,-3.141538,-0.4622,-0.0029,0.0395,-0.000099,0.037232,-0.000093,0.265000
0.841763,0.959304,0.003614,0.022906,-0.000201,-0.100220,-0.000200,0.000108,-0.039407,-3.141546,-0.4962,-0.0031,0.0416,-0.000093,0.033968,-0.000080,0.265000
0.852451,0.959304,0.003614,0.022906,-0.000201,-0.100220,-0.000200,0.000108,-0.039407,-3.141546,-0.4962,-0.0031,0.0416,-0.000093,0.033968,-0.000080,0.265000
0.863072,0.964248,0.003602,0.025583,-0.000204,-0.099698,-0.000192,0.000104,-0.037053,-3.141550,-0.5188,-0.0032,0.0431,-0.000089,0.031944,-0.000073,0.265000
0.873514,0.964248,0.003602,0.025583,-0.000204,-0.099698,-0.000192,0.000104,-0.037053,-3.141550,-0.5188,-0.0032,0.0431,-0.000089,0.031944,-0.000073,0.265000
0.884212,0.964248,0.003602,0.025583,-0.000204,-0.099698,-0.000192,0.000104,-0.037053,-3.141550,-0.5188,-0.0032,0.0431,-0.000089,0.031944,-0.000073,0.265000
0.894754,0.964248,0.003602,0.025583,-0.000204,-0.099698,-0.000192,0.000104,-0.037053,-3.141550,-0.5188,-0.0032,0.0431,-0.000089,0.031944,-0.000073,0.265000
0.905332,0.975194,0.003567,0.027294,-0.000186,-0.086143,-0.000161,0.000102,-0.036337,-3.141552,-0.5259,-0.0032,0.0435,-0.000087,0.031316,-0.000070,0.265000
0.915821,0.981577,0.003553,0.032490,-0.000188,-0.084901,-0.000149,0.000092,-0.031733,-3.141560,-0.5771,-0.0034,0.0468,-0.000079,0.027358,-0.000056,0.265000
0.926594,0.983380,0.003547,0.033278,-0.000189,-0.084749,-0.000148,0.000091,-0.031145,-3.141561,-0.5839,-0.0034,0.0473,-0.000078,0.026852,-0.000055,0.265000
0.937107,0.983380,0.003547,0.033278,-0.000189,-0.084749,-0.000148,0.000091,-0.031145,-3.141561,-0.5839,-0.0034,0.0473,-0.000078,0.026852,-0.000055,0.265000
0.947852,0.983380,0.003547,0.033278,-0.000189,-0.084749,-0.000148,0.000091,-0.031145,-3.141561,-0.5839,-0.0034,0.0473,-0.000078,0.026852,-0.000055,0.265000
0.958560,0.983380,0.003547,0.033278,-0.000189,-0.084749,-0.000148,0.000091,-0.031145,-3.141561,-0.5839,-0.0034,0.0473,-0.000078,0.026852,-0.000055,0.265000
0.969669,0.992147,0.003516,0.034994,-0.000170,-0.073012,-0.000127,0.000090,-0.030526,-3.141562,-0.5911,-0.0035,0.0477,-0.000077,0.026308,-0.000053,0.265000
0.980095,0.992147,0.003516,0.034994,-0.000170,-0.073012,-0.000127,0.000090,-0.030526,-3.141562,-0.5911,-0.0035,0.0477,-0.000077,0.026308,-0.000053,0.265000
0.990958,0.997301,0.003503,0.039638,-0.000168,-0.070835,-0.000113,0.000081,-0.026621,-3.141568,-0.6432,-0.0037,0.0512,-0.000069,0.022950,-0.000042,0.265000
1.001665,0.998744,0.003498,0.040354,-0.000169,-0.070757,-0.000111,0.000080,-0.026130,-3.141569,-0.6501,-0.0037,0.0516,-0.000068,0.022528,-0.000041,0.265000
1.012286,0.998744,0.003498,0.040354,-0.000169,-0.070757,-0.000111,0.000080,-0.026130,-3.141569,-0.6501,-0.0037,0.0516,-0.000068,0.022528,-0.000041,0.265000
1.022877,1.005744,0.003471,0.042046,-0.000154,-0.061291,-0.000094,0.000079,-0.025617,-3.141569,-0.6573,-0.0037,0.0521,-0.000067,0.022077,-0.000040,0.265000
1.033527,1.005744,0.003471,0.042046,-0.000154,-0.061291,-0.000094,0.000079,-0.025617,-3.141569,-0.6573,-0.0037,0.0521,-0.000067,0.022077,-0.000040,0.265000
