t,x,y,z,vx_b,vy_b,vz_b,phi,theta,psi,p,q,r,ax_b,ay_b,az_b,cmd_roll,cmd_pitch,cmd_yaw,cmd_thrust,phase_tag,regime_id
0.00000,-0.00047,0.00006,0.02055,0.00000,0.00000,0.00000,-0.000262,-0.310702,-3.140497,0.000000,0.000000,-0.000000,-2.99919,-0.00245,-9.34029,0.000225,0.267029,0.000000,1.000000,settle,D1
0.01084,-0.00047,0.00006,0.02055,0.00000,0.00000,0.00000,-0.000262,-0.310702,-3.140497,0.000000,0.000000,-0.000000,-2.99919,-0.00245,-9.34029,0.000225,0.267029,0.000000,1.000000,settle,D1
0.02152,-0.00047,0.00006,0.02055,0.02490,0.00051,-0.00571,-0.000262,-0.310702,-3.140497,-0.001628,-0.084873,-0.000076,-0.08505,0.00003,-23.88643,0.000321,0.271892,0.000009,1.000000,settle,D1
0.03212,-0.00172,0.00006,0.01954,0.06293,0.00047,-0.15436,-0.000324,-0.304769,-3.140507,0.001330,-0.551218,-0.000043,-0.08505,0.00003,-23.88643,0.000201,0.293513,0.000022,1.000000,settle,D1
0.04282,-0.00172,0.00006,0.01954,0.06293,0.00047,-0.15436,-0.000324,-0.304769,-3.140507,0.001330,-0.551218,-0.000043,-0.08505,0.00003,-23.88643,0.000201,0.293513,0.000022,1.000000,settle,D1
0.05321,-0.00172,0.00006,0.01954,0.06293,0.00047,-0.15436,-0.000324,-0.304769,-3.140507,0.001330,-0.551218,-0.000043,-0.08505,0.00003,-23.88643,0.000201,0.293513,0.000022,1.000000,settle,D1
0.06417,-0.00172,0.00006,0.01954,0.06293,0.00047,-0.15436,-0.000324,-0.304769,-3.140507,0.001330,-0.551218,-0.000043,151.73511,0.00970,-3728.94263,0.000201,0.293513,0.000022,1.000000,settle,D1
0.07473,-0.00305,0.00006,0.01741,0.15468,0.00032,-1.42091,-0.000306,-0.299054,-3.140509,0.001400,-0.843866,0.000046,151.73511,0.00970,-3728.94263,0.000181,0.305368,0.000015,1.000000,settle,D1
0.08522,-0.01969,0.00006,-0.01970,0.24106,0.00010,-2.14583,-0.000236,-0.267778,-3.140517,0.000574,-0.703252,0.000050,0.90298,0.00067,-69.65483,0.000169,0.270432,0.000028,1.000000,settle,D1
0.09611,-0.04098,0.00006,-0.07472,0.31788,-0.00004,-2.89805,-0.000226,-0.252267,-3.140519,0.000270,-0.632602,0.000059,0.02378,-0.00008,-55.37639,0.000178,0.253053,0.000031,1.000000,settle,D1
0.10656,-0.04098,0.00006,-0.07472,0.31788,-0.00004,-2.89805,-0.000226,-0.252267,-3.140519,0.000270,-0.632602,0.000059,0.02378,-0.00008,-55.37639,0.000178,0.253053,0.000031,1.000000,settle,D1
0.11724,-0.04098,0.00006,-0.07472,0.31788,-0.00004,-2.89805,-0.000226,-0.252267,-3.140519,0.000270,-0.632602,0.000059,0.02378,-0.00008,-55.37639,0.000178,0.253053,0.000031,1.000000,settle,D1
0.12746,-0.04098,0.00006,-0.07472,0.31788,-0.00004,-2.89805,-0.000226,-0.252267,-3.140519,0.000270,-0.632602,0.000059,0.02378,-0.00008,-55.37639,0.000178,0.253053,0.000031,1.000000,settle,D1
0.13795,-0.04953,0.00006,-0.09787,0.40936,-0.00028,-4.74891,-0.000224,-0.247770,-3.140520,0.000344,-0.529800,0.000064,196.33850,0.20904,-6083.02441,0.000172,0.243298,0.000032,1.000000,settle,D1
0.14827,-0.04953,0.00006,-0.09787,0.40936,-0.00028,-4.74891,-0.000224,-0.247770,-3.140520,0.000344,-0.529800,0.000064,115.63641,0.10641,-2717.87183,0.000172,0.243298,0.000032,1.000000,settle,D1
0.15863,-0.13172,0.00006,-0.33584,0.60456,-0.00050,-5.92286,-0.000205,-0.219589,-3.140523,0.000441,-0.533348,0.000065,0.02801,0.00003,-55.84144,0.000151,0.219282,0.000036,0.939738,settle,D1
0.16957,-0.14539,0.00006,-0.37740,0.64247,-0.00056,-6.26788,-0.000202,-0.215887,-3.140523,0.000452,-0.533230,0.000064,0.02801,0.00003,-55.84144,0.000147,0.216093,0.000037,0.918109,settle,D1
0.18017,-0.14539,0.00006,-0.37740,0.64247,-0.00056,-6.26788,-0.000202,-0.215887,-3.140523,0.000452,-0.533230,0.000064,0.02801,0.00003,-55.84144,0.000147,0.216093,0.000037,0.918109,settle,D1
0.19055,-0.16098,0.00006,-0.42532,0.68494,-0.00062,-6.64035,-0.000199,-0.211855,-3.140523,0.000459,-0.534104,0.000064,-1.58363,-0.00146,-20.03754,0.000144,0.212678,0.000037,0.894456,settle,D1
0.20120,-0.16098,0.00006,-0.42532,0.68494,-0.00062,-6.64035,-0.000199,-0.211855,-3.140523,0.000459,-0.534104,0.000064,140.95361,0.13771,-4837.37402,0.000144,0.212678,0.000037,0.894456,settle,D1
0.21183,-0.16098,0.00006,-0.42532,0.73403,-0.00075,-8.01335,-0.000199,-0.211855,-3.140523,0.000430,-0.522146,0.000069,140.95361,0.13771,-4837.37402,0.000146,0.211993,0.000037,0.825806,settle,D1
0.22258,-0.28746,0.00006,-0.83045,1.00636,-0.00104,-9.04079,-0.000176,-0.184379,-3.140525,0.000396,-0.524445,0.000075,0.61453,0.00058,-61.50109,0.000128,0.188510,0.000038,0.732429,settle,D1
0.23307,-0.28746,0.00006,-0.83045,1.00636,-0.00104,-9.04079,-0.000176,-0.184379,-3.140525,0.000396,-0.524445,0.000075,0.04286,0.00005,-49.10895,0.000128,0.188510,0.000038,0.732429,settle,D1
0.24378,-0.30629,0.00006,-0.89284,1.05253,-0.00109,-9.32481,-0.000173,-0.180727,-3.140525,0.000390,-0.525835,0.000076,0.04286,0.00005,-49.10895,0.000126,0.185451,0.000039,0.711808,settle,D1
0.25414,-0.30629,0.00006,-0.89284,1.05253,-0.00109,-9.32481,-0.000173,-0.180727,-3.140525,0.000390,-0.525835,0.000076,0.04286,0.00005,-49.10895,0.000126,0.185451,0.000039,0.711808,settle,D1
0.26472,-0.32652,0.00006,-0.96033,1.14461,-0.00121,-10.33332,-0.000170,-0.176853,-3.140525,0.000366,-0.507054,0.000083,160.29431,0.17145,-2653.49097,0.000125,0.181046,0.000039,0.654445,settle,D1
0.27519,-0.32652,0.00006,-0.96033,1.14461,-0.00121,-10.33332,-0.000170,-0.176853,-3.140525,0.000366,-0.507054,0.000083,160.29431,0.17145,-2653.49097,0.000125,0.181046,0.000039,0.654445,settle,D1
0.28553,-0.43133,0.00006,-1.31418,1.35920,-0.00138,-10.58937,-0.000157,-0.158321,-3.140526,0.000352,-0.488689,0.000085,75.90375,0.07917,-883.18640,0.000114,0.164066,0.000039,0.605415,settle,D1
0.29596,-0.50262,0.00006,-1.55685,1.50122,-0.00150,-10.78683,-0.000149,-0.147001,-3.140525,0.000345,-0.477188,0.000085,-0.06759,0.00001,-22.96862,0.000108,0.153679,0.000038,0.570809,settle,D1
0.30651,-0.50262,0.00006,-1.55685,1.50122,-0.00150,-10.78683,-0.000149,-0.147001,-3.140525,0.000345,-0.477188,0.000085,-0.06759,0.00001,-22.96862,0.000108,0.153679,0.000038,0.570809,settle,D1
0.31688,-0.50262,0.00006,-1.55685,1.50122,-0.00150,-10.78683,-0.000149,-0.147001,-3.140525,0.000345,-0.477188,0.000085,-0.06759,0.00001,-22.96862,0.000108,0.153679,0.000038,0.570809,settle,D1
0.32730,-0.50262,0.00006,-1.55685,1.50122,-0.00150,-10.78683,-0.000149,-0.147001,-3.140525,0.000345,-0.477188,0.000085,-0.06759,0.00001,-22.96862,0.000108,0.153679,0.000038,0.570809,settle,D1
0.33836,-0.52473,0.00006,-1.63232,1.58090,-0.00158,-11.04252,-0.000146,-0.143718,-3.140525,0.000290,-0.394767,0.000083,112.73746,0.13175,-531.35938,0.000109,0.146135,0.000037,0.550348,settle,D1
0.34927,-0.63707,0.00006,-2.01467,1.76198,-0.00172,-11.11978,-0.000136,-0.129149,-3.140524,0.000289,-0.399809,0.000083,70.46873,0.08541,-409.24603,0.000100,0.133903,0.000036,0.507715,settle,D1
0.35998,-0.63707,0.00006,-2.01467,1.76198,-0.00172,-11.11978,-0.000136,-0.129149,-3.140524,0.000289,-0.399809,0.000083,-0.16621,-0.00002,-15.68644,0.000100,0.133903,0.000036,0.507715,settle,D1
0.37037,-0.71230,0.00006,-2.27029,1.87985,-0.00181,-11.18117,-0.000129,-0.119736,-3.140523,0.000292,-0.395783,0.000082,-0.16621,-0.00002,-15.68644,0.000094,0.125582,0.000035,0.478769,settle,D1
0.38114,-0.71230,0.00006,-2.27029,1.87985,-0.00181,-11.18117,-0.000129,-0.119736,-3.140523,0.000292,-0.395783,0.000082,-0.16621,-0.00002,-15.68644,0.000094,0.125582,0.000035,0.478769,settle,D1
