t,x,y,z,vx_b,vy_b,vz_b,phi,theta,psi,p,q,r,ax_b,ay_b,az_b,cmd_roll,cmd_pitch,cmd_yaw,cmd_thrust,phase_tag,regime_id
0.00000,-0.00047,0.00006,0.02055,0.00000,0.00000,0.00000,-0.000272,-0.310673,-3.140462,0.000000,0.000000,-0.000000,-2.99891,-0.00254,-9.34038,0.000234,0.267003,0.000000,0.278324,settle,P0
0.01085,-0.00047,0.00006,0.02055,0.00000,0.00000,0.00000,-0.000272,-0.310673,-3.140462,0.000000,0.000000,-0.000000,-2.99891,-0.00254,-9.34038,0.000234,0.267003,0.000000,0.278324,settle,P0
0.02126,-0.00047,0.00006,0.02055,0.00238,-0.00008,0.00058,-0.000272,-0.310673,-3.140462,0.001057,-0.007955,0.000947,38.19361,-4.34746,-14.36222,0.000172,0.267459,-0.000109,0.278353,settle,P0
0.03184,-0.00055,0.00005,0.02062,0.01624,-0.00004,-0.01048,-0.000350,-0.310504,-3.140493,-0.000636,-0.131261,0.000425,38.19361,-4.34746,-14.36222,0.000338,0.274379,0.000004,0.277785,settle,P0
0.04239,-0.00121,0.00005,0.02026,0.03306,0.00016,-0.03589,-0.000347,-0.304514,-3.140413,-0.002162,-0.423114,0.000255,-1.79280,0.01413,-11.07844,0.000425,0.285953,-0.000115,0.275985,settle,P0
0.05312,-0.00121,0.00005,0.02026,0.03306,0.00016,-0.03589,-0.000347,-0.304514,-3.140413,-0.002162,-0.423114,0.000255,-1.79280,0.01413,-11.07844,0.000425,0.285953,-0.000115,0.275985,settle,P0
0.06361,-0.00121,0.00005,0.02026,0.03306,0.00016,-0.03589,-0.000347,-0.304514,-3.140413,-0.002162,-0.423114,0.000255,-1.79280,0.01413,-11.07844,0.000425,0.285953,-0.000115,0.275985,settle,P0
0.07420,-0.00121,0.00005,0.02026,0.03306,0.00016,-0.03589,-0.000347,-0.304514,-3.140413,-0.002162,-0.423114,0.000255,-1.79280,0.01413,-11.07844,0.000425,0.285953,-0.000115,0.275985,settle,P0
0.08483,-0.00160,0.00005,0.02001,0.09776,0.00160,-0.08807,-0.000348,-0.300569,-3.140396,0.000057,-0.939301,-0.000256,239.47647,7.57677,-115.42743,0.000296,0.312138,-0.000086,0.273034,settle,P0
0.09523,-0.00160,0.00005,0.02001,0.09776,0.00160,-0.08807,-0.000348,-0.300569,-3.140396,0.000057,-0.939301,-0.000256,239.47647,7.57677,-115.42743,0.000296,0.312138,-0.000086,0.273034,settle,P0
0.10571,-0.00809,-0.00001,0.01727,0.16082,0.00222,-0.09445,-0.000213,-0.254035,-3.140418,0.001665,-0.976694,0.000045,0.63261,0.00062,-9.92251,0.000085,0.274288,-0.000081,0.269065,settle,P0
0.11606,-0.00945,-0.00003,0.01692,0.17856,0.00219,-0.09608,-0.000201,-0.247491,-3.140419,0.001697,-0.942240,0.000025,-0.06693,0.00001,-9.87817,0.000073,0.266690,-0.000077,0.268524,settle,P0
0.12650,-0.00945,-0.00003,0.01692,0.17856,0.00219,-0.09608,-0.000201,-0.247491,-3.140419,0.001697,-0.942240,0.000025,-0.06693,0.00001,-9.87817,0.000073,0.266690,-0.000077,0.268524,settle,P0
0.13736,-0.00945,-0.00003,0.01692,0.17856,0.00219,-0.09608,-0.000201,-0.247491,-3.140419,0.001697,-0.942240,0.000025,-0.06693,0.00001,-9.87817,0.000073,0.266690,-0.000077,0.268524,settle,P0
0.14779,-0.00945,-0.00003,0.01692,0.17856,0.00219,-0.09608,-0.000201,-0.247491,-3.140419,0.001697,-0.942240,0.000025,190.54472,0.13589,-46.73949,0.000073,0.266690,-0.000077,0.268524,settle,P0
0.15821,-0.01102,-0.00005,0.01658,0.26190,0.00206,-0.10997,-0.000189,-0.241015,-3.140421,0.000671,-0.674820,-0.000169,190.54472,0.13589,-46.73949,0.000123,0.245802,-0.000052,0.267389,settle,P0
0.16852,-0.01102,-0.00005,0.01658,0.26190,0.00206,-0.10997,-0.000189,-0.241015,-3.140421,0.000671,-0.674820,-0.000169,0.40629,0.00029,-10.02357,0.000123,0.245802,-0.000052,0.267389,settle,P0
0.17901,-0.02578,-0.00019,0.01425,0.31452,0.00198,-0.10839,-0.000144,-0.204020,-3.140436,0.000517,-0.682731,-0.000224,-0.06577,-0.00004,-9.92804,0.000093,0.214460,-0.000020,0.265193,settle,P0
0.18982,-0.02816,-0.00021,0.01396,0.32880,0.00196,-0.10920,-0.000140,-0.199333,-3.140438,0.000562,-0.674870,-0.000219,-0.06577,-0.00004,-9.92804,0.000087,0.209981,-0.000017,0.264893,settle,P0
0.20043,-0.02816,-0.00021,0.01396,0.32880,0.00196,-0.10920,-0.000140,-0.199333,-3.140438,0.000562,-0.674870,-0.000219,-0.06577,-0.00004,-9.92804,0.000087,0.209981,-0.000017,0.264893,settle,P0
0.21085,-0.03086,-0.00022,0.01365,0.39620,0.00185,-0.11669,-0.000135,-0.194353,-3.140440,0.000629,-0.552134,-0.000070,-0.06577,-0.00004,-9.92804,0.000079,0.198669,-0.000031,0.264250,settle,P0
0.22146,-0.03086,-0.00022,0.01365,0.39620,0.00185,-0.11669,-0.000135,-0.194353,-3.140440,0.000629,-0.552134,-0.000070,144.25723,0.09445,-26.90462,0.000079,0.198669,-0.000031,0.264250,settle,P0
0.23187,-0.03086,-0.00022,0.01365,0.39620,0.00185,-0.11669,-0.000135,-0.194353,-3.140440,0.000629,-0.552134,-0.000070,67.02032,0.04230,-14.13037,0.000079,0.198669,-0.000031,0.264250,settle,P0
0.24249,-0.05254,-0.00036,0.01168,0.43950,0.00178,-0.10707,-0.000101,-0.164850,-3.140448,0.000541,-0.525551,-0.000006,0.42149,0.00028,-9.72083,0.000055,0.171790,-0.000024,0.263289,settle,P0
0.25321,-0.05574,-0.00038,0.01146,0.45100,0.00176,-0.10546,-0.000097,-0.161213,-3.140448,0.000523,-0.523777,-0.000005,-0.06431,-0.00002,-9.68133,0.000053,0.168562,-0.000024,0.263208,settle,P0
0.26386,-0.05574,-0.00038,0.01146,0.45100,0.00176,-0.10546,-0.000097,-0.161213,-3.140448,0.000523,-0.523777,-0.000005,-0.06431,-0.00002,-9.68133,0.000053,0.168562,-0.000024,0.263208,settle,P0
0.27442,-0.05574,-0.00038,0.01146,0.45100,0.00176,-0.10546,-0.000097,-0.161213,-3.140448,0.000523,-0.523777,-0.000005,-0.06431,-0.00002,-9.68133,0.000053,0.168562,-0.000024,0.263208,settle,P0
0.28508,-0.05926,-0.00040,0.01124,0.50506,0.00167,-0.09990,-0.000094,-0.157344,-3.140448,0.000417,-0.451015,-0.000045,106.38641,0.06032,1.84256,0.000056,0.161068,-0.000019,0.263319,settle,P0
0.29564,-0.07723,-0.00050,0.01045,0.53176,0.00163,-0.08826,-0.000078,-0.140650,-3.140451,0.000391,-0.433852,-0.000059,74.77522,0.04066,-0.16922,0.000044,0.145738,-0.000012,0.263230,settle,P0
