t,x,y,z,vx_b,vy_b,vz_b,phi,theta,psi,p,q,r,ax_b,ay_b,az_b,cmd_roll,cmd_pitch,cmd_yaw,cmd_thrust,phase_tag,regime_id
0.00000,-0.00047,0.00007,0.02055,0.00000,0.00000,0.00000,-0.000254,-0.310700,-3.140535,0.000000,0.000000,-0.000000,-2.99916,-0.00237,-9.34030,0.000218,0.267027,0.000000,1.000000,settle,P0
0.01057,-0.00047,0.00007,0.02055,0.00000,0.00000,0.00000,-0.000254,-0.310700,-3.140535,0.000000,0.000000,-0.000000,196.48779,0.39492,-1586.54346,0.000218,0.267027,0.000000,1.000000,settle,P0
0.02155,-0.00047,0.00007,0.02055,0.00000,0.00000,0.00000,-0.000254,-0.310700,-3.140535,0.000000,0.000000,-0.000000,196.48779,0.39492,-1586.54346,0.000218,0.267027,0.000000,1.000000,settle,P0
0.03218,-0.00047,0.00007,0.02055,0.08102,0.00025,-0.29483,-0.000254,-0.310700,-3.140535,0.001654,-0.754410,-0.000156,110.87823,0.11639,-1464.64502,0.000121,0.310251,0.000018,1.000000,settle,P0
0.04260,-0.01156,0.00007,-0.00023,0.16821,0.00016,-1.14498,-0.000261,-0.279059,-3.140550,0.003011,-0.809662,-0.000012,1.01023,0.00208,-59.76338,0.000048,0.286224,0.000029,1.000000,settle,P0
0.05335,-0.01559,0.00007,-0.00958,0.19448,0.00010,-1.45170,-0.000245,-0.273886,-3.140551,0.002358,-0.744933,-0.000000,0.14664,0.00074,-51.77728,0.000072,0.278069,0.000029,1.000000,settle,P0
0.06384,-0.01559,0.00007,-0.00958,0.19448,0.00010,-1.45170,-0.000245,-0.273886,-3.140551,0.002358,-0.744933,-0.000000,0.14664,0.00074,-51.77728,0.000072,0.278069,0.000029,1.000000,settle,P0
0.07411,-0.01559,0.00007,-0.00958,0.19448,0.00010,-1.45170,-0.000245,-0.273886,-3.140551,0.002358,-0.744933,-0.000000,0.14664,0.00074,-51.77728,0.000072,0.278069,0.000029,1.000000,settle,P0
0.08475,-0.02055,0.00007,-0.02154,0.28571,-0.00017,-3.21381,-0.000233,-0.268749,-3.140553,0.000022,-0.585970,0.000058,222.94421,0.18057,-6427.35889,0.000199,0.264546,0.000025,1.000000,settle,P0
0.09541,-0.05723,0.00007,-0.11794,0.39481,-0.00030,-3.98945,-0.000220,-0.246743,-3.140556,-0.000022,-0.566713,0.000063,138.65399,0.12122,-3029.59668,0.000190,0.244531,0.000030,1.000000,settle,P0
0.10605,-0.05723,0.00007,-0.11794,0.39481,-0.00030,-3.98945,-0.000220,-0.246743,-3.140556,-0.000022,-0.566713,0.000063,0.74509,0.00043,-70.11388,0.000190,0.244531,0.000030,1.000000,settle,P0
0.11642,-0.09125,0.00007,-0.21398,0.48656,-0.00039,-4.75456,-0.000218,-0.233734,-3.140558,0.000173,-0.549942,0.000068,0.04126,-0.00008,-56.91346,0.000177,0.232389,0.000032,1.000000,settle,P0
0.12672,-0.09125,0.00007,-0.21398,0.48656,-0.00039,-4.75456,-0.000218,-0.233734,-3.140558,0.000173,-0.549942,0.000068,0.04126,-0.00008,-56.91346,0.000177,0.232389,0.000032,1.000000,settle,P0
0.13740,-0.09125,0.00007,-0.21398,0.48656,-0.00039,-4.75456,-0.000218,-0.233734,-3.140558,0.000173,-0.549942,0.000068,0.04126,-0.00008,-56.91346,0.000177,0.232389,0.000032,1.000000,settle,P0
0.14805,-0.10371,0.00007,-0.25016,0.57802,-0.00056,-6.57843,-0.000215,-0.229723,-3.140558,0.000497,-0.506224,0.000067,208.16064,0.20537,-6792.81152,0.000156,0.226437,0.000033,0.916158,settle,P0
0.15850,-0.10371,0.00007,-0.25016,0.57802,-0.00056,-6.57843,-0.000215,-0.229723,-3.140558,0.000497,-0.506224,0.000067,208.16064,0.20537,-6792.81152,0.000156,0.226437,0.000033,0.916158,settle,P0
0.16891,-0.17453,0.00007,-0.46346,0.73252,-0.00073,-7.32504,-0.000199,-0.211239,-3.140560,0.000518,-0.507141,0.000067,111.31549,0.10428,-2719.07788,0.000141,0.210603,0.000036,0.856371,settle,P0
0.17940,-0.22957,0.00007,-0.63647,0.85557,-0.00088,-8.03728,-0.000187,-0.199111,-3.140560,0.000501,-0.524076,0.000066,0.66925,0.00067,-67.19788,0.000131,0.201150,0.000036,0.802775,settle,P0
0.18982,-0.22957,0.00007,-0.63647,0.85557,-0.00088,-8.03728,-0.000187,-0.199111,-3.140560,0.000501,-0.524076,0.000066,0.10473,0.00013,-55.11659,0.000131,0.201150,0.000036,0.802775,settle,P0
0.20013,-0.22957,0.00007,-0.63647,0.85557,-0.00088,-8.03728,-0.000187,-0.199111,-3.140560,0.000501,-0.524076,0.000066,0.10473,0.00013,-55.11659,0.000131,0.201150,0.000036,0.802775,settle,P0
0.21076,-0.22957,0.00007,-0.63647,0.85557,-0.00088,-8.03728,-0.000187,-0.199111,-3.140560,0.000501,-0.524076,0.000066,157.73499,0.15766,-3743.05225,0.000131,0.201150,0.000036,0.802775,settle,P0
0.22147,-0.24758,0.00007,-0.69411,0.94718,-0.00102,-9.36188,-0.000183,-0.195310,-3.140560,0.000401,-0.537813,0.000073,157.73499,0.15766,-3743.05225,0.000134,0.198671,0.000036,0.730576,settle,P0
0.23167,-0.34410,0.00007,-1.00894,1.15396,-0.00120,-9.78715,-0.000168,-0.176056,-3.140561,0.000380,-0.531741,0.000076,89.79224,0.08806,-1499.73010,0.000122,0.181775,0.000037,0.676855,settle,P0
