t,x,y,z,vx_b,vy_b,vz_b,phi,theta,psi,p,q,r,ax_b,ay_b,az_b,cmd_roll,cmd_pitch,cmd_yaw,cmd_thrust,phase_tag,regime_id
0.00000,-0.00047,0.00006,0.02055,0.00000,0.00000,0.00000,-0.000268,-0.310677,-3.140504,0.000000,0.000000,-0.000000,-2.99895,-0.00250,-9.34036,0.000230,0.267008,0.000000,0.278324,settle,P0
0.01092,-0.00047,0.00006,0.02055,0.00000,0.00000,0.00000,-0.000268,-0.310677,-3.140504,0.000000,0.000000,-0.000000,-2.99895,-0.00250,-9.34036,0.000230,0.267008,0.000000,0.278324,settle,P0
0.02182,-0.00047,0.00006,0.02055,0.00000,0.00000,0.00000,-0.000268,-0.310677,-3.140504,0.000000,0.000000,-0.000000,-2.99895,-0.00250,-9.34036,0.000230,0.267008,0.000000,0.278324,settle,P0
0.03266,-0.00047,0.00006,0.02055,0.00000,0.00000,0.00000,-0.000268,-0.310677,-3.140504,0.000000,0.000000,-0.000000,-2.99895,-0.00250,-9.34036,0.000230,0.267008,0.000000,0.278324,settle,P0
0.04329,-0.00047,0.00007,0.02059,0.00846,-0.00010,-0.00133,-0.000350,-0.310674,-3.140432,0.000654,-0.016296,0.000941,95.87714,-0.24970,-39.35691,0.000263,0.267938,-0.000232,0.278257,settle,P0
0.05380,-0.00047,0.00007,0.02059,0.00846,-0.00010,-0.00133,-0.000350,-0.310674,-3.140432,0.000654,-0.016296,0.000941,95.87714,-0.24970,-39.35691,0.000263,0.267938,-0.000232,0.278257,settle,P0
0.06434,-0.00047,0.00007,0.02059,0.00846,-0.00010,-0.00133,-0.000350,-0.310674,-3.140432,0.000654,-0.016296,0.000941,40.74417,0.59864,-79.08641,0.000263,0.267938,-0.000232,0.278257,settle,P0
0.07518,-0.00125,0.00006,0.02027,0.03284,0.00011,-0.03591,-0.000367,-0.304650,-3.140339,-0.002228,-0.423191,0.000345,-1.52608,0.01482,-11.57793,0.000446,0.286074,-0.000323,0.275996,settle,P0
0.08559,-0.00164,0.00006,0.02004,0.04280,0.00023,-0.04807,-0.000370,-0.300813,-3.140324,-0.001765,-0.564027,0.000241,-1.56102,0.01655,-11.05230,0.000422,0.290846,-0.000338,0.275056,settle,P0
0.09657,-0.00164,0.00006,0.02004,0.04280,0.00023,-0.04807,-0.000370,-0.300813,-3.140324,-0.001765,-0.564027,0.000241,-1.56102,0.01655,-11.05230,0.000422,0.290846,-0.000338,0.275056,settle,P0
0.10732,-0.00164,0.00006,0.02004,0.04280,0.00023,-0.04807,-0.000370,-0.300813,-3.140324,-0.001765,-0.564027,0.000241,-1.56102,0.01655,-11.05230,0.000422,0.290846,-0.000338,0.275056,settle,P0
0.11780,-0.00215,0.00006,0.01973,0.11385,0.00174,-0.09299,-0.000368,-0.296045,-3.140310,-0.000674,-0.965018,-0.000741,212.71143,7.36764,-83.65264,0.000356,0.309723,-0.000249,0.272403,settle,P0
0.12842,-0.00645,0.00001,0.01779,0.16262,0.00266,-0.09698,-0.000329,-0.263599,-3.140301,0.001788,-0.968684,-0.000816,212.71143,7.36764,-83.65264,0.000178,0.282048,-0.000255,0.269632,settle,P0
0.13877,-0.01098,-0.00007,0.01660,0.19511,0.00262,-0.09812,-0.000260,-0.241348,-3.140328,0.004010,-0.897086,-0.000947,0.00053,0.00021,-9.91805,-0.000012,0.258823,-0.000195,0.268004,settle,P0
0.14948,-0.01098,-0.00007,0.01660,0.19511,0.00262,-0.09812,-0.000260,-0.241348,-3.140328,0.004010,-0.897086,-0.000947,0.00053,0.00021,-9.91805,-0.000012,0.258823,-0.000195,0.268004,settle,P0
0.16006,-0.01098,-0.00007,0.01660,0.19511,0.00262,-0.09812,-0.000260,-0.241348,-3.140328,0.004010,-0.897086,-0.000947,0.00053,0.00021,-9.91805,-0.000012,0.258823,-0.000195,0.268004,settle,P0
0.17058,-0.01098,-0.00007,0.01660,0.19511,0.00262,-0.09812,-0.000260,-0.241348,-3.140328,0.004010,-0.897086,-0.000947,0.00053,0.00021,-9.91805,-0.000012,0.258823,-0.000195,0.268004,settle,P0
0.18172,-0.01262,-0.00009,0.01626,0.27595,0.00249,-0.11096,-0.000230,-0.235464,-3.140336,0.000671,-0.648217,-0.000586,190.57599,0.15232,-44.89045,0.000159,0.239506,-0.000222,0.266972,settle,P0
0.19256,-0.02258,-0.00019,0.01466,0.31067,0.00244,-0.10932,-0.000168,-0.210890,-3.140367,0.000208,-0.636330,-0.000415,97.08575,0.07625,-25.41253,0.000132,0.217706,-0.000188,0.265538,settle,P0
