t,x,y,z,vx_b,vy_b,vz_b,phi,theta,psi,p,q,r,ax_b,ay_b,az_b,cmd_roll,cmd_pitch,cmd_yaw,cmd_thrust,phase_tag,regime_id
0.00000,-0.00047,0.00007,0.02055,0.00000,0.00000,0.00000,-0.000251,-0.310717,-3.140526,0.000000,0.000000,-0.000000,-2.99932,-0.00234,-9.34024,0.000216,0.267041,0.000000,1.000000,settle,P0
0.01089,-0.00047,0.00007,0.02055,0.00000,0.00000,0.00000,-0.000251,-0.310717,-3.140526,0.000000,0.000000,-0.000000,-2.99932,-0.00234,-9.34024,0.000216,0.267041,0.000000,1.000000,settle,P0
0.02176,-0.00047,0.00007,0.02055,0.02076,0.00032,-0.00011,-0.000251,-0.310717,-3.140526,-0.008431,-0.073398,-0.000109,92.00660,1.64983,-9.86550,0.000711,0.271247,0.000012,1.000000,settle,P0
0.03281,-0.00113,0.00007,0.02023,0.06032,0.00028,-0.12990,-0.000366,-0.307176,-3.140458,-0.001764,-0.526279,-0.000084,36.13142,0.04166,-185.98605,0.000418,0.294152,-0.000107,1.000000,settle,P0
0.04346,-0.00113,0.00007,0.02023,0.06032,0.00028,-0.12990,-0.000366,-0.307176,-3.140458,-0.001764,-0.526279,-0.000084,36.13142,0.04166,-185.98605,0.000418,0.294152,-0.000107,1.000000,settle,P0
0.05412,-0.00113,0.00007,0.02023,0.06032,0.00028,-0.12990,-0.000366,-0.307176,-3.140458,-0.001764,-0.526279,-0.000084,36.13142,0.04166,-185.98605,0.000418,0.294152,-0.000107,1.000000,settle,P0
0.06486,-0.00113,0.00007,0.02023,0.06032,0.00028,-0.12990,-0.000366,-0.307176,-3.140458,-0.001764,-0.526279,-0.000084,36.13142,0.04166,-185.98605,0.000418,0.294152,-0.000107,1.000000,settle,P0
0.07557,-0.00113,0.00007,0.02023,0.06032,0.00028,-0.12990,-0.000366,-0.307176,-3.140458,-0.001764,-0.526279,-0.000084,36.13142,0.04166,-185.98605,0.000418,0.294152,-0.000107,1.000000,settle,P0
0.08624,-0.00113,0.00007,0.02023,0.06032,0.00028,-0.12990,-0.000366,-0.307176,-3.140458,-0.001764,-0.526279,-0.000084,36.13142,0.04166,-185.98605,0.000418,0.294152,-0.000107,1.000000,settle,P0
0.09699,-0.00234,0.00007,0.01870,0.17620,0.00015,-2.91633,-0.000372,-0.301035,-3.140461,0.000857,-0.622432,-0.000123,36.13142,0.04166,-185.98605,0.000269,0.294383,-0.000097,1.000000,settle,P0
0.10764,-0.00234,0.00007,0.01870,0.17620,0.00015,-2.91633,-0.000372,-0.301035,-3.140461,0.000857,-0.622432,-0.000123,14.43066,-0.39916,-3496.96484,0.000269,0.294383,-0.000097,1.000000,settle,P0
0.11895,-0.00234,0.00007,0.01870,0.17620,0.00015,-2.91633,-0.000372,-0.301035,-3.140461,0.000857,-0.622432,-0.000123,14.43066,-0.39916,-3496.96484,0.000269,0.294383,-0.000097,1.000000,settle,P0
0.12979,-0.05051,0.00007,-0.10015,0.39194,-0.00059,-4.15107,-0.000199,-0.246945,-3.140485,0.000528,-0.606621,-0.000216,0.64978,0.00054,-67.57623,0.000140,0.246991,-0.000044,1.000000,settle,P0
0.14019,-0.08527,0.00007,-0.19811,0.47599,-0.00073,-4.56838,-0.000184,-0.231794,-3.140494,0.000518,-0.612973,-0.000220,0.64978,0.00054,-67.57623,0.000127,0.234333,-0.000030,1.000000,settle,P0
0.15102,-0.08527,0.00007,-0.19811,0.47599,-0.00073,-4.56838,-0.000184,-0.231794,-3.140494,0.000518,-0.612973,-0.000220,0.64978,0.00054,-67.57623,0.000127,0.234333,-0.000030,1.000000,settle,P0
0.16180,-0.08527,0.00007,-0.19811,0.47599,-0.00073,-4.56838,-0.000184,-0.231794,-3.140494,0.000518,-0.612973,-0.000220,0.64978,0.00054,-67.57623,0.000127,0.234333,-0.000030,1.000000,settle,P0
0.17224,-0.09645,0.00007,-0.23058,0.56663,-0.00109,-6.42461,-0.000179,-0.227496,-3.140496,0.000427,-0.533839,-0.000144,146.59680,0.10941,-5222.86230,0.000129,0.226105,-0.000034,0.925665,settle,P0
0.18273,-0.09645,0.00007,-0.23058,0.56663,-0.00109,-6.42461,-0.000179,-0.227496,-3.140496,0.000427,-0.533839,-0.000144,146.59680,0.10941,-5222.86230,0.000129,0.226105,-0.000034,0.925665,settle,P0
0.19301,-0.09645,0.00007,-0.23058,0.56663,-0.00109,-6.42461,-0.000179,-0.227496,-3.140496,0.000427,-0.533839,-0.000144,146.59680,0.10941,-5222.86230,0.000129,0.226105,-0.000034,0.925665,settle,P0
0.20364,-0.09645,0.00007,-0.23058,0.56663,-0.00109,-6.42461,-0.000179,-0.227496,-3.140496,0.000427,-0.533839,-0.000144,121.99158,0.09711,-4197.27393,0.000129,0.226105,-0.000034,0.925665,settle,P0
0.21421,-0.16750,0.00007,-0.44579,0.76113,-0.00149,-8.06626,-0.000160,-0.206822,-3.140506,0.000359,-0.516757,-0.000056,121.99158,0.09711,-4197.27393,0.000117,0.207359,-0.000027,0.820824,settle,P0
0.22479,-0.16750,0.00007,-0.44579,0.76113,-0.00149,-8.06626,-0.000160,-0.206822,-3.140506,0.000359,-0.516757,-0.000056,121.99158,0.09711,-4197.27393,0.000117,0.207359,-0.000027,0.820824,settle,P0
0.23525,-0.16750,0.00007,-0.44579,0.76113,-0.00149,-8.06626,-0.000160,-0.206822,-3.140506,0.000359,-0.516757,-0.000056,121.99158,0.09711,-4197.27393,0.000117,0.207359,-0.000027,0.820824,settle,P0
0.24583,-0.24539,0.00007,-0.69459,0.95350,-0.00180,-9.30609,-0.000147,-0.189562,-3.140511,0.000353,-0.542824,-0.000037,162.92010,0.13385,-4103.93311,0.000106,0.194018,-0.000021,0.733016,settle,P0
0.25659,-0.33355,0.00007,-0.98713,1.14802,-0.00200,-9.83053,-0.000135,-0.171693,-3.140515,0.000348,-0.546713,-0.000042,0.51433,0.00043,-48.87898,0.000095,0.178884,-0.000013,0.676660,settle,P0
0.26725,-0.40086,0.00007,-1.21587,1.29979,-0.00216,-10.27301,-0.000126,-0.158919,-3.140518,0.000338,-0.534908,-0.000048,-0.02360,0.00002,-36.27651,0.000088,0.167229,-0.000008,0.631089,settle,P0
0.27778,-0.40086,0.00007,-1.21587,1.29979,-0.00216,-10.27301,-0.000126,-0.158919,-3.140518,0.000338,-0.534908,-0.000048,-0.02360,0.00002,-36.27651,0.000088,0.167229,-0.000008,0.631089,settle,P0
